Name,Team,Name,Age,NameASCII,PlayerId,MLBAMID
"Rich Hill","BOS","Rich Hill",44,"Rich Hill",4806,448179
"Justin Verlander","HOU","Justin Verlander",41,"Justin Verlander",8700,434378
"Charlie Morton","ATL","Charlie Morton",40,"Charlie Morton",4676,450203
"Jesse Chavez","ATL","Jesse Chavez",40,"Jesse Chavez",5448,445926
"Yuli Gurriel","KCR","Yuli Gurriel",40,"Yuli Gurriel",19198,493329
"Max Scherzer","TEX","Max Scherzer",39,"Max Scherzer",3137,453286
"Justin Turner","- - -","Justin Turner",39,"Justin Turner",5235,457759
"David Robertson","TEX","David Robertson",39,"David Robertson",8241,502085
"Adam Ottavino","NYM","Adam Ottavino",38,"Adam Ottavino",1247,493603
"Carlos Santana","MIN","Carlos Santana",38,"Carlos Santana",2396,467793
"Johnny Cueto","LAA","Johnny Cueto",38,"Johnny Cueto",6893,456501
"Matt Carpenter","STL","Matt Carpenter",38,"Matt Carpenter",8090,572761
"Chris Martin","BOS","Chris Martin",38,"Chris Martin",11847,455119
"Lance Lynn","STL","Lance Lynn",37,"Lance Lynn",2520,458681
"Jake Diekman","NYM","Jake Diekman",37,"Jake Diekman",5003,518617
"Brandon Crawford","STL","Brandon Crawford",37,"Brandon Crawford",5343,543063
"Carlos Carrasco","CLE","Carlos Carrasco",37,"Carlos Carrasco",6632,471911
"Martín Maldonado","CHW","Martín Maldonado",37,"Martin Maldonado",6887,455117
"Luis García","- - -","Luis García",37,"Luis Garcia",6984,472610
"Daniel Hudson","LAD","Daniel Hudson",37,"Daniel Hudson",7146,543339
"Charlie Blackmon","COL","Charlie Blackmon",37,"Charlie Blackmon",7859,453568
"Paolo Espino","TOR","Paolo Espino",37,"Paolo Espino",8246,502179
"Wade Miley","MIL","Wade Miley",37,"Wade Miley",8779,489119
"Kirby Yates","TEX","Kirby Yates",37,"Kirby Yates",9073,489446
"Andrew McCutchen","PIT","Andrew McCutchen",37,"Andrew McCutchen",9847,457705
"Caleb Thielbar","MIN","Caleb Thielbar",37,"Caleb Thielbar",10078,573204
"Yu Darvish","SDP","Yu Darvish",37,"Yu Darvish",13074,506433
"José Abreu","HOU","José Abreu",37,"Jose Abreu",15676,547989
"Clayton Kershaw","LAD","Clayton Kershaw",36,"Clayton Kershaw",2036,477132
"David Peralta","SDP","David Peralta",36,"David Peralta",2136,444482
"Tommy Pham","- - -","Tommy Pham",36,"Tommy Pham",2967,502054
"Kenley Jansen","BOS","Kenley Jansen",36,"Kenley Jansen",3096,445276
"Justin Wilson","CIN","Justin Wilson",36,"Justin Wilson",4301,458677
"Ryan Brasier","LAD","Ryan Brasier",36,"Ryan Brasier",5615,518489
"J.D. Martinez","NYM","J.D. Martinez",36,"J.D. Martinez",6184,502110
"Alex Cobb","CLE","Alex Cobb",36,"Alex Cobb",6562,502171
"Craig Kimbrel","BAL","Craig Kimbrel",36,"Craig Kimbrel",6655,518886
"Chase Anderson","- - -","Chase Anderson",36,"Chase Anderson",6895,502624
"Jay Jackson","MIN","Jay Jackson",36,"Jay Jackson",7432,543351
"Bryan Shaw","CHW","Bryan Shaw",36,"Bryan Shaw",8110,543766
"Donovan Solano","SDP","Donovan Solano",36,"Donovan Solano",8623,456781
"Paul Goldschmidt","STL","Paul Goldschmidt",36,"Paul Goldschmidt",9218,502671
"Dallas Keuchel","MIL","Dallas Keuchel",36,"Dallas Keuchel",9434,572971
"Yan Gomes","CHC","Yan Gomes",36,"Yan Gomes",9627,543228
"Joe Kelly","LAD","Joe Kelly",36,"Joe Kelly",9761,523260
"Brooks Raley","NYM","Brooks Raley",36,"Brooks Raley",10061,548384
"Kyle Gibson","STL","Kyle Gibson",36,"Kyle Gibson",10123,502043
"Aroldis Chapman","PIT","Aroldis Chapman",36,"Aroldis Chapman",10233,547973
"Jacob deGrom","TEX","Jacob deGrom",36,"Jacob deGrom",10954,594798
"Blake Treinen","LAD","Blake Treinen",36,"Blake Treinen",12572,595014
"Kenta Maeda","DET","Kenta Maeda",36,"Kenta Maeda",18498,628317
"Matt Moore","LAA","Matt Moore",35,"Matt Moore",1890,519043
"T.J. McFarland","OAK","T.J. McFarland",35,"T.J. McFarland",3237,519008
"José Cisnero","LAA","José Cisnero",35,"Jose Cisnero",6399,542585
"Ryan Pressly","HOU","Ryan Pressly",35,"Ryan Pressly",7005,519151
"Travis d'Arnaud","ATL","Travis d'Arnaud",35,"Travis d'Arnaud",7739,518595
"Miguel Rojas","LAD","Miguel Rojas",35,"Miguel Rojas",7802,500743
"Hunter Strickland","LAA","Hunter Strickland",35,"Hunter Strickland",7836,519326
"Starling Marte","NYM","Starling Marte",35,"Starling Marte",9241,516782
"Miles Mikolas","STL","Miles Mikolas",35,"Miles Mikolas",9803,571945
"DJ LeMahieu","NYY","DJ LeMahieu",35,"DJ LeMahieu",9874,518934
"Chris Sale","ATL","Chris Sale",35,"Chris Sale",10603,519242
"Adam Duvall","ATL","Adam Duvall",35,"Adam Duvall",10950,594807
"Merrill Kelly","ARI","Merrill Kelly",35,"Merrill Kelly",11156,518876
"David Buchanan","CIN","David Buchanan",35,"David Buchanan",11176,571527
"Whit Merrifield","- - -","Whit Merrifield",35,"Whit Merrifield",11281,593160
"Yasmani Grandal","PIT","Yasmani Grandal",35,"Yasmani Grandal",11368,518735
"Jose Quintana","NYM","Jose Quintana",35,"Jose Quintana",11423,500779
"Mark Canha","- - -","Mark Canha",35,"Mark Canha",11445,592192
"Drew Smyly","CHC","Drew Smyly",35,"Drew Smyly",11760,592767
"Héctor Neris","- - -","Héctor Neris",35,"Hector Neris",11804,593576
"James Paxton","- - -","James Paxton",35,"James Paxton",11828,572020
"Chris Bassitt","TOR","Chris Bassitt",35,"Chris Bassitt",12304,605135
"Kevin Pillar","- - -","Kevin Pillar",35,"Kevin Pillar",12434,607680
"Curt Casali","SFG","Curt Casali",35,"Curt Casali",12510,592200
"Anthony Rizzo","NYY","Anthony Rizzo",34,"Anthony Rizzo",3473,519203
"Jason Heyward","- - -","Jason Heyward",34,"Jason Heyward",4940,518792
"Giancarlo Stanton","NYY","Giancarlo Stanton",34,"Giancarlo Stanton",4949,519317
"Robbie Grossman","- - -","Robbie Grossman",34,"Robbie Grossman",5254,543257
"Aaron Hicks","LAA","Aaron Hicks",34,"Aaron Hicks",5297,543305
"Freddie Freeman","LAD","Freddie Freeman",34,"Freddie Freeman",5361,518692
"Jose Altuve","HOU","Jose Altuve",34,"Jose Altuve",5417,514888
"Kyle Higashioka","SDP","Kyle Higashioka",34,"Kyle Higashioka",5517,543309
"Huascar Brazobán","- - -","Huascar Brazobán",34,"Huascar Brazoban",6107,623211
"Albert Suárez","BAL","Albert Suárez",34,"Albert Suarez",6175,544150
"Fernando Cruz","CIN","Fernando Cruz",34,"Fernando Cruz",7048,518585
"Salvador Perez","KCR","Salvador Perez",34,"Salvador Perez",7304,521692
"Will Smith","KCR","Will Smith",34,"Will Smith",8048,519293
"Ehire Adrianza","LAA","Ehire Adrianza",34,"Ehire Adrianza",8418,501303
"Nathan Eovaldi","TEX","Nathan Eovaldi",34,"Nathan Eovaldi",9132,543135
"Casey Kelly","CIN","Casey Kelly",34,"Casey Kelly",9174,543391
"Patrick Corbin","WSN","Patrick Corbin",34,"Patrick Corbin",9323,571578
"Jose Iglesias","NYM","Jose Iglesias",34,"Jose Iglesias",10231,578428
"Zack Wheeler","PHI","Zack Wheeler",34,"Zack Wheeler",10310,554430
"Erasmo Ramírez","TBR","Erasmo Ramírez",34,"Erasmo Ramirez",10314,541640
"Michael Tonkin","- - -","Michael Tonkin",34,"Michael Tonkin",10315,543859
"Scott Alexander","OAK","Scott Alexander",34,"Scott Alexander",10591,518397
"Rob Brantly","TBR","Rob Brantly",34,"Rob Brantly",10655,542963
"Kevin Kiermaier","- - -","Kevin Kiermaier",34,"Kevin Kiermaier",11038,595281
"Tommy Kahnle","NYY","Tommy Kahnle",34,"Tommy Kahnle",11384,592454
"Nick Martini","CIN","Nick Martini",34,"Nick Martini",12005,605361
"Matt Andriese","MIA","Matt Andriese",34,"Matt Andriese",12022,542882
"Jon Berti","NYY","Jon Berti",34,"Jon Berti",12037,542932
"Kyle Hendricks","CHC","Kyle Hendricks",34,"Kyle Hendricks",12049,543294
"Scott McGough","ARI","Scott McGough",34,"Scott McGough",12056,543518
"Nick Ahmed","- - -","Nick Ahmed",34,"Nick Ahmed",12147,605113
"Austin Barnes","LAD","Austin Barnes",34,"Austin Barnes",12158,605131
"Aaron Brooks","OAK","Aaron Brooks",34,"Aaron Brooks",12272,605156
"Jacob Barnes","WSN","Jacob Barnes",34,"Jacob Barnes",12323,606930
"Jace Peterson","ARI","Jace Peterson",34,"Jace Peterson",12325,607054
"Seth Lugo","KCR","Seth Lugo",34,"Seth Lugo",12447,607625
"Nick Ramirez","LAD","Nick Ramirez",34,"Nick Ramirez",12575,598286
"Sonny Gray","STL","Sonny Gray",34,"Sonny Gray",12768,543243
"John Brebbia","- - -","John Brebbia",34,"John Brebbia",12777,605154
"Burch Smith","- - -","Burch Smith",34,"Burch Smith",12784,572143
"Andrew Kittredge","STL","Andrew Kittredge",34,"Andrew Kittredge",12828,552640
"George Springer","TOR","George Springer",34,"George Springer",12856,543807
"James McCann","BAL","James McCann",34,"James McCann",12859,543510
"Anthony Rendon","LAA","Anthony Rendon",34,"Anthony Rendon",12861,543685
"Matt Barnes","WSN","Matt Barnes",34,"Matt Barnes",12863,598264
"Tyler Anderson","LAA","Tyler Anderson",34,"Tyler Anderson",12880,542881
"Andrew Chafin","- - -","Andrew Chafin",34,"Andrew Chafin",12988,605177
"Ross Stripling","OAK","Ross Stripling",34,"Ross Stripling",13273,548389
"Danny Coulombe","BAL","Danny Coulombe",34,"Danny Coulombe",13293,543056
"Jacob Stallings","COL","Jacob Stallings",34,"Jacob Stallings",13723,607732
"Joey Wendle","NYM","Joey Wendle",34,"Joey Wendle",13853,621563
"Paul Sewald","ARI","Paul Sewald",34,"Paul Sewald",13892,623149
"Brent Suter","CIN","Brent Suter",34,"Brent Suter",13942,608718
"Cole Sulser","- - -","Cole Sulser",34,"Cole Sulser",15256,642121
"Austin Pruitt","TEX","Austin Pruitt",34,"Austin Pruitt",15290,643493
"Tim Hill","- - -","Tim Hill",34,"Tim Hill",16814,657612
"Eddy Alvarez","NYM","Eddy Alvarez",34,"Eddy Alvarez",16959,657193
"Raisel Iglesias","ATL","Raisel Iglesias",34,"Raisel Iglesias",17130,628452
"Anthony Gose","CLE","Anthony Gose",33,"Anthony Gose",5097,543238
"Avisaíl García","MIA","Avisaíl García",33,"Avisail Garcia",5760,541645
"Julio Teheran","NYM","Julio Teheran",33,"Julio Teheran",6797,527054
"Martín Pérez","- - -","Martín Pérez",33,"Martin Perez",6902,527048
