Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",145.82,638.809,516.93,146.079,74.8938,24.435,0.509498,46.2407,104.47,114.123,111.758,10.0548,163.48,5.55552,4.14241,0.42305,10.0432,7.55451,1.71034,0.28259,0.174948,0.255914,0.683618,0.412592,0.600188,0.423918,1.01278,0.317599,3.35538,0.320661,0.100521,-0.619421,133.205,58.4788,178.298,-0.5189,-2.57488,58.00177973508835,-10.060614585876465,7.14942,3.2699999809265137,3.20797,-0.236596,1.58804,3.20797,0.236596,2.88261,1171.9,8.026712328,1171.9,8.026712328,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",153.211,667.36,606.122,178.194,104.841,35.4654,7.79011,30.0976,104.505,95.8495,48.5327,4.65945,108.815,6.01404,6.02787,0.663516,6.24067,32.7408,9.96145,0.29399,0.0727234,0.163053,0.446011,0.349095,0.527174,0.370928,0.876269,0.233185,7.19748,0.312942,1.5016,1.29254,110.697,32.6301,141.846,2.79414,2.6286,35.46793031692505,9.721680402755737,6.96349,1.6299999952316284,4.43981,0.827247,0.540438,4.43981,-0.827247,4.27942,1019.6,6.664052287,1019.6,6.664052287,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",152.129,664.154,583.28,157.969,90.55,30.389,5.68768,31.3423,102.849,89.3911,70.3816,1.78108,150.016,5.69258,4.2567,0.543408,8.7209,16.9025,3.91067,0.270829,0.105972,0.225875,0.469162,0.352682,0.503636,0.366586,0.856317,0.232807,6.21819,0.311751,1.03548,0.495646,107.844,30.1523,144.279,1.53113,-1.60257,35.1800332069397,5.440446138381958,6.48175,5.860000133514404,2.26921,-0.386111,0.64671,2.26921,0.386111,4.13772,963.5,6.338815789,963.5,6.338815789,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Juan Soto","NYM",152.987,673.206,536.303,147.468,83.6928,27.2736,2.16629,34.3348,106.871,96.1551,128.437,6.6278,112.346,3.9821,3.84349,0.640184,12.9261,8.35441,3.29255,0.274971,0.190784,0.166882,1.14323,0.416147,0.525968,0.403391,0.942115,0.250997,3.84362,0.287529,-1.27543,-1.31596,129.256,50.5059,164.178,-2.59138,-3.16231,47.95856976509094,-11.208669185638428,6.11197,7.840000152587891,1.96513,1.53259,1.13942,1.96513,-1.53259,3.48077,1099.3,7.18496732,1099.3,7.18496732,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",145.286,642.942,553.369,158.452,82.9231,29.1336,5.11587,41.2793,112.622,104.509,80.247,9.99975,146.704,4.8715,3.88181,0.572252,6.85233,33.7249,8.15049,0.28634,0.124812,0.228176,0.547,0.379175,0.581267,0.402168,0.960442,0.294926,6.93346,0.317311,0.495734,2.19664,122.812,47.6023,163.336,2.69237,0,50.336822271347046,-13.769639015197754,5.98896,1.4700000286102295,3.90684,-0.294683,0.388653,3.90684,0.294683,4.4818,1127,7.772413793,1127,7.772413793,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Mookie Betts","LAD",148.116,651.216,563.221,156.874,94.0517,32.5771,2.83378,27.4111,100.483,90.3679,76.505,2.29499,88.0224,5.96038,4.97602,0.552736,8.28897,15.1504,3.44062,0.278529,0.11748,0.135166,0.869154,0.367839,0.492438,0.370026,0.860277,0.213909,5.28567,0.285938,0.133385,0.261564,107.546,31.3682,141.226,0.394948,-4.19037,31.805842846632004,2.1484313011169434,5.74758,12.649999618530273,2.08908,-0.496404,0.671524,2.08908,0.496404,4.10463,951.9,6.431756756,951.9,6.431756756,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"José Ramírez","CLE",152.578,660.577,588.783,161.207,92.605,36.1244,3.27095,29.2065,94.1096,97.4341,62.517,10.1003,77.9246,3.08627,5.98729,0.203442,6.65859,30.2679,7.59078,0.273797,0.09464,0.117964,0.802276,0.343457,0.495076,0.354273,0.838534,0.22128,5.90855,0.270693,0.926315,1.81033,100.716,23.4433,134.237,2.73664,1.31094,28.613993644714355,3.0768898725509644,5.54721,5.019999980926514,3.4123,-0.0464905,0.318259,3.4123,0.0464905,4.57565,939.3,6.139215686,939.3,6.139215686,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Yordan Alvarez","HOU",135.611,590.464,502.938,149.906,81.5902,30.4126,1.83403,36.0688,88.9357,96.9136,73.3106,9.9126,98.162,9.44366,4.60277,0.168655,9.59081,3.16712,0.566268,0.29806,0.124158,0.166246,0.746833,0.394142,0.580972,0.409081,0.975114,0.282912,3.32552,0.304939,-0.641962,-0.814759,116.074,47.0025,173.092,-1.45672,-0.875096,47.92533576488495,-14.314113914966583,5.50415,17.6299991607666,2.82824,1.00826,1.40988,2.82824,-1.00826,3.12016,1022.7,7.519852941,1022.7,7.519852941,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Julio Rodríguez","SEA",147.433,641.171,584.503,160.038,103.314,27.6296,2.14238,26.9528,88.8569,83.8444,45.1587,2.99244,153.521,8.21603,2.81395,0.47951,9.40096,27.5134,6.76476,0.273802,0.0704316,0.239439,0.294153,0.333098,0.46674,0.344013,0.799838,0.192938,5.68987,0.327118,0.666371,1.54987,92.4629,17.4599,132.156,2.21624,3.1731,25.806739807128906,5.26064395904541,5.416,13.510000228881836,2.33553,-0.58511,0.271798,2.33553,0.58511,4.6376,850,5.782312925,850,5.782312925,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Francisco Lindor","NYM",152.889,669.904,594.926,152.877,91.7183,30.3315,2.48247,28.3452,98.0275,87.0091,59.3081,1.41128,127.102,9.97279,4.8483,0.848687,8.31316,24.3876,5.53372,0.256969,0.0885323,0.189732,0.466617,0.332048,0.459233,0.341563,0.791281,0.202264,5.75871,0.280272,0.290519,1.37678,95.2857,16.9217,121.645,1.6673,3.84337,18.632853150367737,10.680813789367676,5.33261,15.100000381469727,3.34588,1.29137,0.633804,3.34588,-1.29137,4.15493,859.2,5.615686274,859.2,5.615686274,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
