Team,Player,Level,Pos,Yrs,Cost,Note,Options
Bayou Shooters,Vladimir Guerrero Jr.,MLB,1B,1,80%,³,
Bayou Shooters,Rafael Devers,MLB,3B,1,80%,³,
Bayou Shooters,Alex Verdugo,MLB,OF,1,80%,³,
Bayou Shooters,Jonathan India,MLB,2B,1,60%,²,
Bayou Shooters,Gavin Lux,MLB,SS,1,60%,²,
Bayou Shooters,Andres Gimenez,MLB,2B,2,$6.00,,
Bayou Shooters,Brady Singer,MLB,SP,2,$3.00,,
Bayou Shooters,Edwin Diaz,MLB,RP,2,$1.00,@,
Bayou Shooters,Logan T. Allen,MLB,SP,2,$1.00,@,
Bayou Shooters,Jackson Merrill,MLB,SS,2,$1.00,@,
Bayou Shooters,Oneil Cruz,MLB,SS,2,$1.00,@,
Bayou Shooters,MJ Melendez,MLB,OF,1,$1.00,@,
Bayou Shooters,Chris Paddack,MLB,SP,1,$1.00,,
Bayou Shooters,Mike Soroka,MLB,SP,1,$1.00,,
Bayou Shooters,Ryne Nelson,MLB,SP,2,$1.00,@,
Bayou Shooters,James Wood,AA,OF,8,$1.00,,
Bayou Shooters,Dustin Harris,AA,1B,U,$-,,3
Bayou Shooters,Brady House,AA,3B,U,$-,,3
Bayou Shooters,Diego Cartaya,AA,C,U,$-,,3
Bayou Shooters,Luis Campusano,AA,C,U,$-,,3
Bayou Shooters,Josue De Paula,AA,OF,U,$-,,3
Bayou Shooters,Miguel Bleis,AA,OF,U,$-,,3
Bayou Shooters,Dax Fulton,AA,SP,U,$-,,3
Bayou Shooters,Dylan Lesko,AA,SP,U,$-,,3
Bayou Shooters,Edward Cabrera,AA,SP,U,$-,,3
Bayou Shooters,Gavin Williams,AA,SP,U,$-,,3
Bayou Shooters,Hurston Waldrep,AA,SP,U,$-,,3
Bayou Shooters,River Ryan,AA,SP,U,$-,,3
Bayou Shooters,Taj Bradley,AA,SP,U,$-,,3
Bayou Shooters,Dustin May,AA,SP,U,$-,,2
Bayou Shooters,Ronny Mauricio,AA,SS,U,$-,,3
Bayou Shooters,Anthony Rizzo,AAA,1B,0,AAA opt,,
Bayou Shooters,Tyler O'Neill,AAA,OF,0,AAA opt,,
Bayou Shooters,Justin Lawrence,AAA,RP,0,AAA opt,,
Bayou Shooters,Steven Matz,AAA,RP,0,AAA opt,,
Bayou Shooters,Patrick Sandoval,AAA,SP,0,AAA opt,,
Cheating Raiders,Corbin Burnes,MLB,SP,1,80%,³,
Cheating Raiders,Mitch Keller,MLB,SP,1,80%,³,
Cheating Raiders,Nico Hoerner,MLB,2B,1,60%,²,
Cheating Raiders,Dylan Cease,MLB,SP,1,60%,²,
Cheating Raiders,Logan Gilbert,MLB,SP,1,40%,¹,
Cheating Raiders,Tarik Skubal,MLB,SP,1,40%,¹,
Cheating Raiders,Manny Machado,MLB,3B,2,$7.00,,
Cheating Raiders,Adolis Garcia,MLB,OF,1,$6.40,,
Cheating Raiders,Walker Buehler,MLB,SP,2,$1.69,,
Cheating Raiders,Cody Bellinger,MLB,OF,1,$1.50,,
Cheating Raiders,Adley Rutschman,MLB,C,1,$1.00,@,
Cheating Raiders,Bobby Witt Jr.,MLB,SS,1,$1.00,@,
Cheating Raiders,Jarred Kelenic,AAA,OF,2,$1.00,@,
Cheating Raiders,Tanner Bibee,MLB,SP,2,$1.00,@,
Cheating Raiders,Austin Riley,MLB,3B,1,60%,²,
Cheating Raiders,Nick Kurtz,AA,1B,11,$1.13,,
Cheating Raiders,Clarke Schmidt,MLB,SP,1,$1.00,@,
Cheating Raiders,Matt Shaw,AA,3B,U,$-,,3
Cheating Raiders,Tommy White,AA,3B,U,$-,,3
Cheating Raiders,Tyler Black,AA,3B,U,$-,,3
Cheating Raiders,Justyn-Henry Malloy,AA,OF,U,$-,,3
Cheating Raiders,Vance Honeycutt,AA,OF,U,$-,,3
Cheating Raiders,Cade Horton,AA,SP,U,$-,,3
Cheating Raiders,Chase Dollander,AA,SP,U,$-,,3
Cheating Raiders,Drew Thorpe,AA,SP,U,$-,,3
Cheating Raiders,Jordan Wicks,AA,SP,U,$-,,3
Cheating Raiders,Ty Madden,AA,SP,U,$-,,3
Cheating Raiders,Colson Montgomery,AA,SS,U,$-,,3
Cheating Raiders,Shea Langeliers,AAA,C,0,AAA opt,,
Cheating Raiders,Orlando Arcia,AAA,SS,0,AAA opt,,
Cheating Raiders,Josh Bell,AAA,1B,0,AAA opt,,
Cheating Raiders,Elias Diaz,AAA,C,0,AAA opt,,
Cheating Raiders,Brent Rooker,AAA,OF,0,AAA opt,,
Country Strong,Nathaniel Lowe,MLB,1B,1,60%,²,
Country Strong,Brandon Lowe,MLB,2B,1,60%,²,
Country Strong,Freddy Peralta,MLB,SP,1,60%,²,
Country Strong,Corey Seager,MLB,SS,1,$7.50,,
Country Strong,Carlos Rodon,MLB,SP,1,$5.50,,
Country Strong,Shota Imanaga,MLB,SP,2,$2.35,,
Country Strong,Cristopher Sanchez,MLB,SP,2,$1.50,,
Country Strong,Jackson Chourio,MLB,OF,9,$1.10,,
Country Strong,Gunnar Henderson,MLB,SS,2,$1.00,@,
Country Strong,Yoshinobu Yamamoto,MLB,SP,4,$1.00,,
Country Strong,Fernando Tatis Jr.,MLB,OF,3,$1.00,,
Country Strong,CJ Abrams,MLB,SS,8,$1.00,,
Country Strong,Nolan Jones,AAA,OF,2,$4.50,,
Country Strong,Rowdy Tellez,AAA,1B,1,$2.00,,
Country Strong,Christian Encarnacion-Strand,MLB,1B,2,$1.00,@,
Country Strong,Nolan Gorman,AAA,2B,2,$1.00,@,
Country Strong,Josh Jung,MLB,3B,1,$1.00,@,
Country Strong,Roansy Contreras,AAA,SP,1,$1.00,,
Country Strong,Jackson Holliday,MLB,2B,9,$1.15,,
Country Strong,Sandy Alcantara,MLB,SP,3,$1.05,,
Country Strong,Colt Emerson,AA,SS,11,$1.00,,
Country Strong,Munetaka Murakami,AA,3B,6,$1.00,,
Country Strong,Jack Leiter,AA,SP,6,$1.00,,
Country Strong,Jacob deGrom,MLB,SP,2,$1.00,,
Country Strong,Kyle Manzardo,AA,1B,U,$-,,3
Country Strong,Xavier Isaac,AA,1B,U,$-,,3
Country Strong,Sebastian Walcott,AA,3B,U,$-,,3
Country Strong,Chase DeLauter,AA,OF,U,$-,,3
Country Strong,Luis Matos,AA,OF,U,$-,,3
Country Strong,Felix Bautista,MLB,RP,3,$1.00,@,3
Country Strong,Luis Garcia,AAA,SP,3,$1.00,@,3
Country Strong,Christian Scott,AA,SP,U,$-,,2
Country Strong,Joendry Vargas,AA,SS,U,$-,,3
Country Strong,James Paxton,AAA,SP,0,AAA opt,,
Detroit Nittany Tide,Alex Bregman,MLB,3B,1,$6.50,,
Detroit Nittany Tide,Zack Gelof,MLB,2B,2,$3.25,,
