,Team,Name,Level,Pos,Yrs,Cost,Note,Options,FangraphsId,EspnId
0,Detroit Nittany Tide,Addison Barger,AA,3B,U,$-,,3.0,24598,4997589
1,Detroit Nittany Tide,Heston Kjerstad,AA,OF,U,$-,,3.0,31166,
2,Detroit Nittany Tide,Kevin Alcantara,AA,OF,U,$-,,3.0,25971,42500
3,Detroit Nittany Tide,Kevin Alcantara,AA,OF,U,$-,,3.0,25971,
4,Structure Fire,Connor Phillips,AA,SP,U,$-,,3.0,27649,
5,Detroit Nittany Tide,Jackson Jobe,AA,SP,U,$-,,3.0,30203,4872647
6,Structure Fire,Jordan Lawlar,AA,SS,U,$-,,3.0,29976,4872649
7,Detroit Nittany Tide,Travis Bazzana,AA,2B,U,$-,,3.0,sa3025129,
8,Ryno World,Chase Burns,AA,SP,U,$-,,3.0,,4927516
9,Ryno World,Ben Joyce,AA,RP,U,$-,,3.0,31461,4867388
10,Ryno World,Oscar Colas,AA,OF,U,$-,,2.0,30162,4987420
11,Orlando Renegades,Jac Caglianone,AA,SP/1B,U,$-,,3.0,sa3025245,4926296
12,Country Strong,Kyle Manzardo,AA,1B,U,$-,,3.0,29794,4917927
13,Country Strong,Chase DeLauter,AA,OF,U,$-,,3.0,sa3021053,4619649
14,Country Strong,Luis Matos,AA,OF,U,$-,,3.0,26467,4722941
15,Springfield Zephyrs,Tink Hence,AA,SP,U,$-,,3.0,sa3014709,
16,Country Strong,Christian Scott,AA,SP,U,$-,,2.0,30107,
17,West Coast Spartans,Coby Mayo,AA,3B,U,$-,,3.0,28312,
18,West Coast Spartans,Brock Wilken,AA,3B,U,$-,,3.0,sa3022499,4758886
19,Orlando Renegades,Junior Caminero,AA,3B,U,$-,,3.0,28163,4905921
20,Ryno World,Jace Jung,AA,2B,U,$-,,3.0,31437,
21,Ryno World,Ethan Salas,AA,C,U,$-,,3.0,sa3020881,5124004
22,Ryno World,Henry Davis,AA,C,U,$-,,2.0,29617,4418683
23,Springfield Zephyrs,Samuel Basallo,AA,1B,U,$-,,3.0,sa3015716,
24,West Coast Spartans,Victor Scott II,AA,OF,U,$-,,3.0,31349,
25,Springfield Zephyrs,AJ Smith-Shawver,AA,SP,U,$-,,3.0,29960,4917640
26,Springfield Zephyrs,Harry Ford,AA,C,U,$-,,3.0,sa3017627,
27,Springfield Zephyrs,Kyle Teel,AA,C,U,$-,,3.0,sa3022886,
28,Springfield Zephyrs,Ceddanne Rafaela,AA,OF,U,$-,,3.0,24262,4987382
29,Springfield Zephyrs,Pete Crow-Armstrong,AA,OF,U,$-,,3.0,27769,4717833
30,Springfield Zephyrs,Jordan Walker,AA,OF,U,$-,,2.0,27475,4684778
31,Dip City Thunder,Michael Busch,AA,1B,U,$-,,2.0,26319,42415
32,Springfield Zephyrs,Lucas Giolito,AA,SP,U,$-,,3.0,15474,32697
33,Springfield Zephyrs,Rhett Lowder,AA,SP,U,$-,,3.0,33876,4758873
34,Springfield Zephyrs,Robby Snelling,AA,SP,U,$-,,3.0,sa3020707,5080753
35,Springfield Zephyrs,Noelvi Marte,AA,SS,U,$-,,3.0,26517,41307
36,Springfield Zephyrs,Masyn Winn,AA,SS,U,$-,,3.0,27479,4683365
37,Springfield Zephyrs,Jett Williams,AA,SS,U,$-,,3.0,sa3020134,5080638
38,Springfield Zephyrs,Cole Young,AA,SS,U,$-,,3.0,sa3020459,5080641
39,Springfield Zephyrs,Curtis Mead,AA,3B,U,$-,,3.0,23986,42360
40,Springfield Zephyrs,Colt Keith,AA,3B,U,$-,,3.0,27899,4683384
41,Springfield Zephyrs,Miguel Vargas,AA,2B,U,$-,,3.0,20178,42453
42,Springfield Zephyrs,Luisangel Acuna,AA,2B,U,$-,,3.0,26548,
43,Springfield Zephyrs,Matt Mervis,AA,1B,U,$-,,2.0,27845,4297978
44,Dip City Thunder,Emmanuel Rodriguez,AA,OF,U,$-,,3.0,sa3014693,
45,Dip City Thunder,Parker Meadows,AA,OF,U,$-,,2.0,23800,41223
46,Dip City Thunder,Esteury Ruiz,AA,OF,U,$-,,1.0,21780,39680
47,Dip City Thunder,Orelvis Martinez,AA,SS,U,$-,,3.0,25967,
48,Structure Fire,Colton Cowser,AA,OF,U,$-,,3.0,29591,4416990
49,Structure Fire,Marco Luciano,AA,3B,U,$-,,3.0,25616,
50,Structure Fire,Brett Baty,AA,3B,U,$-,,3.0,26123,42414
51,Structure Fire,Charlie Condon,AA,1B,U,$-,,3.0,sa3025257,5033089
52,Springfield Zephyrs,Connor Norby,AA,2B,U,$-,,3.0,29592,4417606
53,Orlando Renegades,Robert Gasser,AA,SP,U,$-,,2.0,29812,4918251
54,Springfield Zephyrs,Trevor Rogers,AA,SP,U,$-,,3.0,22286,39640
55,West Coast Spartans,Bryce Eldridge,AA,OF,U,$-,,3.0,sa3022757,5149064
56,Midtown Jaguars,Daniel Espino,AA,SP,U,$-,,3.0,sa3011495,42438
57,Midtown Jaguars,Forrest Whitley,AA,SP,U,$-,,3.0,19586,40915
58,Midtown Jaguars,Bryce Miller,AA,SP,U,$-,,1.0,29837,4654313
59,Midtown Jaguars,Grayson Rodriguez,AA,SP,U,$-,,1.0,24492,41196
60,Midtown Jaguars,Carson Williams,AA,SS,U,$-,,3.0,sa3017795,
61,Midtown Jaguars,Owen Caissie,AA,OF,U,$-,,3.0,sa3014465,
62,Midtown Jaguars,Oswald Peraza,AA,SS,U,$-,,3.0,22823,42479
63,Young Bucks,Will Warren,AA,SP,U,$-,,3.0,30182,
64,Young Bucks,Eury Perez,AA,SP,U,$-,,2.0,10299,31286
65,Young Bucks,Eury Perez,AA,SP,U,$-,,2.0,27768,4917854
66,Young Bucks,Garrett Crochet,AA,SP,U,$-,,2.0,27463,4297835
67,Midtown Jaguars,Bo Naylor,AA,C,U,$-,,2.0,21865,41183
68,Midtown Jaguars,Tyler Soderstrom,AA,C,U,$-,,3.0,27467,4686066
69,Cheating Raiders,Matt Shaw,AA,3B,U,$-,,3.0,sa3022615,4867667
70,Bayou Shooters,Gavin Williams,AA,SP,U,$-,,3.0,30122,4345076
71,Bayou Shooters,Luis Campusano,AA,C,U,$-,,3.0,22217,40521
72,Bayou Shooters,Dustin Harris,AA,1B,U,$-,,3.0,25705,4917924
73,Bayou Shooters,Edward Cabrera,AA,SP,U,$-,,3.0,21690,40944
74,Bayou Shooters,Hurston Waldrep,AA,SP,U,$-,,3.0,33527,4740117
75,Young Bucks,Cade Cavalli,AA,SP,U,$-,,3.0,27473,4308037
76,Bayou Shooters,River Ryan,AA,SP,U,$-,,3.0,29514,
77,Bayou Shooters,Taj Bradley,AA,SP,U,$-,,3.0,22543,42480
78,Bayou Shooters,Dustin May,AA,SP,U,$-,,2.0,19716,40937
79,Bayou Shooters,Ronny Mauricio,AA,SS,U,$-,,3.0,23698,40978
80,Young Bucks,Roki Sasaki,AA,SP,U,$-,,3.0,sa3025686,5134638
81,Cheating Raiders,Tyler Black,AA,3B,U,$-,,3.0,29949,
82,Cheating Raiders,Cade Horton,AA,SP,U,$-,,3.0,sa3020860,
83,West Coast Spartans,Gavin Stone,AA,SP,U,$-,,3.0,27792,4417230
84,West Coast Spartans,Chase Hampton,AA,SP,U,$-,,3.0,sa3020682,5132219
85,West Coast Spartans,Roman Anthony,AA,OF,U,$-,,3.0,sa3020211,5080767
86,Midtown Jaguars,Noah Schultz,AA,1B,U,$-,,3.0,sa3020949,5080754
87,Young Bucks,Jared Jones,AA,SP,U,$-,,2.0,27863,4918156
88,Young Bucks,Matthew Liberatore,AA,SP,U,$-,,2.0,22294,41173
89,Orlando Renegades,Wyatt Langford,AA,OF,U,$-,,3.0,33333,4719324
90,Orlando Renegades,Andy Pages,AA,OF,U,$-,,2.0,24816,
91,Orlando Renegades,Bubba Chandler,AA,SP,U,$-,,3.0,sa3017428,
92,Young Bucks,Shane Baz,AA,SP,U,$-,,2.0,22264,39639
93,West Coast Spartans,Jacob Misiorowski,AA,SP,U,$-,,3.0,sa3020644,5080761
94,West Coast Spartans,Mick Abel,AA,SP,U,$-,,3.0,sa3014534,4718970
95,West Coast Spartans,Ricky Tiedemann,AA,SP,U,$-,,3.0,sa3018096,4917902
96,Cheating Raiders,Chase Dollander,AA,SP,U,$-,,3.0,sa3023361,4719068
97,Cheating Raiders,Jordan Wicks,AA,SP,U,$-,,3.0,30094,
98,Cheating Raiders,Ty Madden,AA,SP,U,$-,,3.0,30140,
99,Cheating Raiders,Colson Montgomery,AA,SS,U,$-,,3.0,sa3017170,
100,West Coast Spartans,Brooks Lee,AA,SS,U,$-,,3.0,31595,
101,Bayou Shooters,Diego Cartaya,AA,C,U,$-,,3.0,sa3008742,41234
102,Country Strong,Jackson Chourio,MLB,OF,9,$1.10,,,28806,4917869
