,Team,Name,Level,Pos,Yrs,Cost,Note,Options,FangraphsId,EspnId
0,Dip City Thunder,Bryan Ramos,AA,3B,U,$-,,3.0,,
1,Detroit Nittany Tide,Max Clark,AA,OF,U,$-,,3.0,,
3,Detroit Nittany Tide,Cam Collier,AA,3B,U,$-,,3.0,,
4,Detroit Nittany Tide,Yohandy Morales,AA,3B,U,$-,,3.0,,
5,Detroit Nittany Tide,Cristhian Vaquero,AA,OF,U,$-,,3.0,,
6,Detroit Nittany Tide,Enrique Bradfield Jr.,AA,OF,U,$-,,3.0,,
8,Detroit Nittany Tide,Jordyn Adams,AA,OF,U,$-,,3.0,,
11,Detroit Nittany Tide,Travis Honeyman,AA,OF,U,$-,,3.0,,
13,Detroit Nittany Tide,Walker Jenkins,AA,OF,U,$-,,3.0,,
14,Detroit Nittany Tide,Brody Brecht,AA,SP,U,$-,,3.0,,
16,Ryno World,Hagan Smith,AA,SP,U,$-,,3.0,,
17,Ryno World,Noble Meyer,AA,SP,U,$-,,3.0,,
18,Ryno World,Sam Bachman,AA,SP,U,$-,,3.0,,
19,Ryno World,Jacob Gonzalez,AA,SS,U,$-,,3.0,,
22,Ryno World,Chase Burns,AA,SP,U,$-,,3.0,,4927516
27,Country Strong,Xavier Isaac,AA,1B,U,$-,,3.0,,
28,Country Strong,Sebastian Walcott,AA,3B,U,$-,,3.0,,
33,Country Strong,Joendry Vargas,AA,SS,U,$-,,3.0,,
37,Orlando Renegades,Yoelin Cespedes,AA,SS,U,$-,,3.0,,
38,West Coast Spartans,Termarr Johnson,AA,2B,U,$-,,3.0,,
42,Structure Fire,Edwin Arroyo,AA,SS,U,$-,,3.0,,
46,Springfield Zephyrs,Kazumo Okamoto,AA,3B,U,$-,,3.0,,
50,Springfield Zephyrs,Drew Gilbert,AA,OF,U,$-,,3.0,,
51,Springfield Zephyrs,Gabriel Gonzalez,AA,OF,U,$-,,3.0,,
54,Springfield Zephyrs,Brock Porter,AA,SP,U,$-,,3.0,,
59,Springfield Zephyrs,Tommy Troy,AA,SS,U,$-,,3.0,,
69,Dip City Thunder,Ethan Holliday,AA,3B,U,$-,,3.0,,
71,Dip City Thunder,Lazaro Montes,AA,OF,U,$-,,3.0,,
72,Dip City Thunder,Yanquiel Fernandez,AA,OF,U,$-,,3.0,,
75,Dip City Thunder,Hyun-Seok Jang,AA,SP,U,$-,,3.0,,
76,Structure Fire,Robert Hassell,AA,OF,U,$-,,3.0,,
78,Structure Fire,Konnor Griffin,AA,OF,U,$-,,3.0,,
82,Structure Fire,Aidan Miller,AA,3B,U,$-,,3.0,,
88,Cheating Raiders,Justin-Henry Malloy,AA,OF,U,$-,,3.0,,
100,Midtown Jaguars,Justin Crawford,AA,OF,U,$-,,3.0,,
102,Bayou Shooters,Brady House,AA,3B,U,$-,,3.0,,
104,West Coast Spartans,Leodalis De Vries,AA,SS,U,$-,,3.0,,
106,Cheating Raiders,Tommy White,AA,3B,U,$-,,3.0,,
107,Midtown Jaguars,Carson Wislenhunt,AA,SP,U,$-,,3.0,,
108,Midtown Jaguars,Spencer Jones,AA,OF,U,$-,,3.0,,
109,Young Bucks,AJ Minter,AA,RP,U,$-,,2.0,,
113,Bayou Shooters,Josue De Paula,AA,OF,U,$-,,3.0,,
114,Bayou Shooters,Miguel Bleis,AA,OF,U,$-,,3.0,,
115,Bayou Shooters,Dax Fulton,AA,SP,U,$-,,3.0,,
116,Bayou Shooters,Dylan Lesko,AA,SP,U,$-,,3.0,,
124,Young Bucks,Shunpeita Yamashita,AA,SP,U,$-,,3.0,,
126,Young Bucks,Luis Morales,AA,SP,U,$-,,3.0,,
128,West Coast Spartans,Roderick Arias,AA,SS,U,$-,,3.0,,
129,Cheating Raiders,Vance Honeycutt,AA,OF,U,$-,,3.0,,
130,West Coast Spartans,Jeter Martinez,AA,SP,U,$-,,3.0,,
131,Midtown Jaguars,Ryan Clifford,AA,1B,U,$-,,3.0,,
136,Orlando Renegades,Brayden Taylor,AA,3B,U,$-,,3.0,,
139,Orlando Renegades,Jace LaViolette,AA,OF,U,$-,,3.0,,
142,West Coast Spartans,Elijah Green,AA,OF,U,$-,,3.0,,
146,West Coast Spartans,Jarlin Susana,AA,SP,U,$-,,3.0,,
