NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
Ketel Marte,ARI,2B,31.0,FA,1,$1.00,-13.0,539.0,526.0,3.73,106.10000000000002,9.018500000000003
Marcus Semien,TEX,2B,34.0,FA,1,$1.00,-63.0,544.0,481.0,3.26,61.10000000000002,5.193500000000002
Ozzie Albies,ATL,2B,28.0,FA,1,$1.00,-7.0,486.0,479.0,3.31,59.10000000000002,5.023500000000002
Jose Altuve,HOU,2B,35.0,FA,1,$1.00,-69.0,547.0,478.0,3.35,58.10000000000002,4.938500000000002
Matt McLain,CIN,2B/SS,,West Coast Spartans,1,$6.10,-69.0,510.0,441.0,3.48,21.100000000000023,1.793500000000002
Jordan Westburg,BAL,2B/3B,26.0,Orlando Renegades,1,$1.00,-30.0,466.0,436.0,3.24,16.100000000000023,1.368500000000002
Gleyber Torres,DET,2B,28.0,FA,1,$1.00,-21.0,455.0,434.0,2.97,14.100000000000025,1.1985000000000021
Xander Bogaerts,SDP,2B/SS,32.0,FA,1,$1.00,-9.0,439.0,430.0,2.97,10.100000000000025,1.0
Bryson Stott,PHI,2B,27.0,Springfield Zephyrs,1,$1.00,-6.0,428.0,422.0,2.99,2.1000000000000227,1.0
Jonathan India,KCR,2B,28.0,Bayou Shooters,1,60%,-49.0,469.0,420.0,3.05,0.1000000000000227,1.0
Zack Gelof,ATH,2B,25.0,Detroit Nittany Tide,2,$3.25,21.0,399.0,420.0,3.02,0.1000000000000227,1.0
Luis Arraez,SDP,2B/1B,28.0,Structure Fire,1,$1.00,-12.0,431.0,419.0,2.86,-0.8999999999999773,1.0
Andres Gimenez,TOR,2B,26.0,Bayou Shooters,2,$6.00,-25.0,443.0,418.0,2.93,-1.8999999999999773,1.0
Luis Garcia Jr.,WSN,2B,,FA,,,22.0,395.0,417.0,3.06,-2.8999999999999773,1.0
Brice Turang,MIL,2B,25.0,FA,1,$1.00,-39.0,453.0,414.0,2.97,-5.899999999999977,1.0
Jake Cronenworth,SDP,2B/1B,31.0,FA,1,$1.00,-66.0,465.0,399.0,2.85,-20.899999999999977,1.0
Brendan Donovan,STL,2B/OF,28.0,FA,1,$1.00,-79.0,469.0,390.0,2.9,-29.899999999999977,1.0
Connor Norby,MIA,2B/3B,25.0,Springfield Zephyrs,U,$-,-74.0,464.0,390.0,2.89,-29.899999999999977,1.0
Christopher Morel,TBR,2B/3B,26.0,FA,1,$1.00,-82.0,466.0,384.0,3.08,-35.89999999999998,1.0
Maikel Garcia,KCR,2B/3B,25.0,Midtown Jaguars,0,AAA opt,-88.0,472.0,384.0,2.94,-35.89999999999998,1.0
Brandon Lowe,TBR,2B,30.0,Country Strong,1,60%,34.0,345.0,379.0,3.3,-40.89999999999998,1.0
Luis Rengifo,LAA,2B/3B,28.0,FA,1,$1.00,11.0,367.0,378.0,3.04,-41.89999999999998,1.0
Nico Hoerner,CHC,2B,28.0,Cheating Raiders,1,60%,-72.0,448.0,376.0,3.01,-43.89999999999998,1.0
Willi Castro,MIN,2B/OF/3B/SS,28.0,FA,1,$1.00,-71.0,446.0,375.0,2.87,-44.89999999999998,1.0
Colt Keith,DET,2B,23.0,Springfield Zephyrs,U,$-,-8.0,378.0,370.0,2.84,-49.89999999999998,1.0
