NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
William Contreras,MIL,C,27.0,FA,1,$1.00,-37.0,529.0,492.0,3.32,72.10000000000002,6.1285000000000025
Adley Rutschman,BAL,C,27.0,Cheating Raiders,1,$1.00,-29.0,477.0,448.0,3.07,28.100000000000023,2.3885000000000023
Cal Raleigh,SEA,C,28.0,FA,1,$1.00,-42.0,477.0,435.0,3.07,15.100000000000025,1.283500000000002
Willson Contreras,STL,C,33.0,FA,1,$1.00,23.0,398.0,421.0,3.18,1.1000000000000227,1.0
Salvador Perez,KCR,C/1B,35.0,FA,1,$1.00,1.0,414.0,415.0,2.9,-4.899999999999977,1.0
Yainer Diaz,HOU,C,26.0,Detroit Nittany Tide,2,$2.00,-47.0,444.0,397.0,2.95,-22.899999999999977,1.0
Will Smith,LAD,C,30.0,FA,1,$1.00,-64.0,443.0,379.0,3.13,-40.89999999999998,1.0
Shea Langeliers,ATH,C,27.0,Cheating Raiders,0,AAA opt,-35.0,413.0,378.0,2.96,-41.89999999999998,1.0
Logan O'Hoppe,LAA,C,25.0,Springfield Zephyrs,2,$1.00,-32.0,396.0,364.0,2.89,-55.89999999999998,1.0
Austin Wells,NYY,C,25.0,Springfield Zephyrs,2,$1.00,-4.0,343.0,339.0,2.77,-80.89999999999998,0.0
J.T. Realmuto,PHI,C,34.0,FA,1,$1.00,-22.0,354.0,332.0,2.91,-87.89999999999998,0.0
Tyler Stephenson,CIN,C,28.0,Detroit Nittany Tide,0,AAA opt,-46.0,378.0,332.0,2.79,-87.89999999999998,0.0
Gabriel Moreno,ARI,C,25.0,Springfield Zephyrs,1,$1.00,10.0,308.0,318.0,2.68,-101.89999999999998,0.0
Keibert Ruiz,WSN,C,26.0,Midtown Jaguars,1,40%,-35.0,342.0,307.0,2.48,-112.89999999999998,0.0
Ryan Jeffers,MIN,C,28.0,Dip City Thunder,0,AAA opt,-57.0,351.0,294.0,2.78,-125.89999999999998,0.0
Ivan Herrera,STL,C,,FA,,,-38.0,313.0,275.0,2.7,-144.89999999999998,0.0
Francisco Alvarez,NYM,C,23.0,Structure Fire,2,$1.00,-71.0,345.0,274.0,2.72,-145.89999999999998,0.0
Bo Naylor,CLE,C,25.0,Midtown Jaguars,U,$-,-33.0,307.0,274.0,2.52,-145.89999999999998,0.0
Connor Wong,BOS,C,29.0,FA,1,$1.00,-81.0,348.0,267.0,2.54,-152.89999999999998,0.0
Alejandro Kirk,TOR,C,26.0,Young Bucks,0,AAA opt,-42.0,308.0,266.0,2.47,-153.89999999999998,0.0
Patrick Bailey,SFG,C,26.0,FA,1,$1.00,-22.0,288.0,266.0,2.35,-153.89999999999998,0.0
Danny Jansen,TBR,C,,FA,,,64.0,196.0,260.0,2.65,-159.89999999999998,0.0
Jonah Heim,TEX,C,30.0,FA,1,$1.00,-60.0,306.0,246.0,2.42,-173.89999999999998,0.0
Joey Bart,PIT,C,28.0,Ryno World,2,$1.00,-19.0,261.0,242.0,2.51,-177.89999999999998,0.0
