NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
Aaron Judge,NYY,OF,33.0,FA,1,$1.00,-85.0,741.0,656.0,4.5,236.1,20.0685
Juan Soto,NYM,OF,26.0,FA,1,$1.00,-37.0,668.0,631.0,4.12,211.1,17.9435
Corbin Carroll,ARI,OF,24.0,West Coast Spartans,1,$1.00,-23.0,612.0,589.0,3.92,169.10000000000002,14.373500000000003
Kyle Tucker,CHC,OF,28.0,Midtown Jaguars,1,60%,-32.0,620.0,588.0,3.98,168.10000000000002,14.288500000000003
Mookie Betts,LAD,OF/SS,32.0,FA,1,$1.00,-18.0,595.0,577.0,3.89,157.10000000000002,13.353500000000002
Yordan Alvarez,HOU,OF,28.0,Orlando Renegades,1,80%,-20.0,585.0,565.0,4.11,145.10000000000002,12.333500000000003
Fernando Tatis Jr.,SDP,OF,26.0,Country Strong,3,$1.00,-4.0,567.0,563.0,3.86,143.10000000000002,12.163500000000003
Julio Rodriguez,SEA,OF,24.0,Dip City Thunder,1,40%,-19.0,564.0,545.0,3.7,125.10000000000002,10.633500000000003
Jarren Duran,BOS,OF,28.0,Dip City Thunder,1,$1.00,-54.0,589.0,535.0,3.61,115.10000000000002,9.783500000000002
Jazz Chisholm Jr.,NYY,OF/3B,27.0,Midtown Jaguars,1,40%,52.0,472.0,524.0,3.72,104.10000000000002,8.848500000000003
Jackson Chourio,MIL,OF,21.0,Country Strong,9,$1.10,-47.0,571.0,524.0,3.54,104.10000000000002,8.848500000000003
Jackson Merrill,SDP,OF,22.0,Bayou Shooters,2,$1.00,-14.0,526.0,512.0,3.37,92.10000000000002,7.828500000000003
Oneil Cruz,PIT,OF/SS,26.0,Bayou Shooters,2,$1.00,25.0,483.0,508.0,3.53,88.10000000000002,7.488500000000003
Anthony Santander,TOR,OF,30.0,FA,1,$1.00,-55.0,554.0,499.0,3.38,79.10000000000002,6.723500000000002
Ian Happ,CHC,OF,30.0,Structure Fire,1,$4.05,-49.0,545.0,496.0,3.31,76.10000000000002,6.468500000000002
Teoscar Hernandez,LAD,OF,32.0,FA,1,$1.00,-36.0,532.0,496.0,3.4,76.10000000000002,6.468500000000002
Ronald Acuna Jr.,ATL,OF,27.0,FA,1,$1.00,-10.0,499.0,489.0,4.21,69.10000000000002,5.873500000000003
Bryan Reynolds,PIT,OF,30.0,FA,1,$1.00,-32.0,520.0,488.0,3.29,68.10000000000002,5.788500000000003
Wyatt Langford,TEX,OF,23.0,Orlando Renegades,U,$-,-22.0,504.0,482.0,3.48,62.10000000000002,5.278500000000002
James Wood,WSN,OF,22.0,Bayou Shooters,8,$1.00,-13.0,493.0,480.0,3.49,60.10000000000002,5.108500000000002
Michael Harris II,ATL,OF,24.0,Ryno World,1,$1.00,12.0,466.0,478.0,3.4,58.10000000000002,4.938500000000002
Randy Arozarena,SEA,OF,30.0,FA,1,$1.00,-26.0,500.0,474.0,3.25,54.10000000000002,4.598500000000002
Lawrence Butler,ATH,OF,,FA,,,5.0,469.0,474.0,3.23,54.10000000000002,4.598500000000002
Riley Greene,DET,OF,24.0,Structure Fire,1,$1.00,-10.0,483.0,473.0,3.32,53.10000000000002,4.513500000000002
Taylor Ward,LAA,OF,31.0,FA,1,$1.00,-10.0,483.0,473.0,3.18,53.10000000000002,4.513500000000002
Brenton Doyle,COL,OF,27.0,FA,1,$1.00,-42.0,511.0,469.0,3.29,49.10000000000002,4.173500000000002
Luis Robert Jr.,CHW,OF,27.0,Midtown Jaguars,2,$1.00,54.0,399.0,453.0,3.36,33.10000000000002,2.813500000000002
Steven Kwan,CLE,OF,27.0,FA,1,$1.00,-40.0,492.0,452.0,3.08,32.10000000000002,2.728500000000002
Nick Castellanos,PHI,OF,33.0,Structure Fire,1,$2.60,-38.0,488.0,450.0,3.04,30.100000000000023,2.558500000000002
Seiya Suzuki,CHC,OF,30.0,Midtown Jaguars,1,40%,-28.0,476.0,448.0,3.46,28.100000000000023,2.3885000000000023
Cody Bellinger,NYY,OF/1B,29.0,Cheating Raiders,1,$1.50,13.0,433.0,446.0,3.31,26.100000000000023,2.218500000000002
Adolis Garcia,TEX,OF,32.0,Cheating Raiders,1,$6.40,-71.0,510.0,439.0,3.22,19.100000000000023,1.623500000000002
Christian Yelich,MIL,OF,33.0,FA,1,$1.00,-55.0,488.0,433.0,3.6,13.100000000000025,1.1135000000000022
George Springer,TOR,OF,35.0,FA,1,$1.00,-18.0,449.0,431.0,3.14,11.100000000000025,1.0
Dylan Crews,WSN,OF,23.0,Orlando Renegades,3,$1.00,-17.0,447.0,430.0,3.2,10.100000000000025,1.0
JJ Bleday,ATH,OF,,FA,,,-29.0,458.0,429.0,3.0,9.100000000000025,1.0
Jurickson Profar,ATL,OF,32.0,FA,1,$1.00,-58.0,482.0,424.0,3.02,4.100000000000023,1.0
Brandon Nimmo,NYM,OF,32.0,FA,1,$1.00,-61.0,485.0,424.0,3.18,4.100000000000023,1.0
Colton Cowser,BAL,OF,25.0,Structure Fire,U,$-,-32.0,455.0,423.0,3.1,3.1000000000000227,1.0
Pete Crow-Armstrong,CHC,OF,23.0,Springfield Zephyrs,U,$-,15.0,404.0,419.0,3.08,-0.8999999999999773,1.0
Jorge Soler,LAA,OF,33.0,FA,1,$1.00,-10.0,429.0,419.0,3.24,-0.8999999999999773,1.0
Lane Thomas,CLE,OF,29.0,FA,1,$1.00,2.0,416.0,418.0,3.22,-1.8999999999999773,1.0
Mike Trout,LAA,OF,33.0,FA,1,$1.00,-7.0,419.0,412.0,3.86,-7.899999999999977,1.0
Heliot Ramos,SFG,OF,,FA,,,-9.0,419.0,410.0,3.06,-9.899999999999975,1.0
Josh Lowe,TBR,OF,27.0,Detroit Nittany Tide,2,$1.00,-11.0,419.0,408.0,3.26,-11.899999999999975,1.0
Cedric Mullins,BAL,OF,30.0,Orlando Renegades,1,$1.05,35.0,372.0,407.0,3.11,-12.899999999999975,1.0
Jasson Dominguez,NYY,OF,22.0,Young Bucks,9,$2.00,19.0,387.0,406.0,3.18,-13.899999999999975,1.0
Daulton Varsho,TOR,OF,28.0,Detroit Nittany Tide,2,$2.00,45.0,361.0,406.0,2.98,-13.899999999999975,1.0
Lourdes Gurriel Jr.,ARI,OF,31.0,FA,1,$1.00,-7.0,412.0,405.0,3.05,-14.899999999999975,1.0
Jesus Sanchez,MIA,OF,27.0,FA,1,$1.00,10.0,392.0,402.0,2.99,-17.899999999999977,1.0
Tommy Edman,LAD,OF/SS,30.0,FA,1,$1.00,-14.0,413.0,399.0,3.04,-20.899999999999977,1.0
Brendan Donovan,STL,2B/OF,28.0,FA,1,$1.00,-79.0,469.0,390.0,2.9,-29.899999999999977,1.0
Matt Wallner,MIN,OF,,FA,,,1.0,386.0,387.0,3.14,-32.89999999999998,1.0
Kerry Carpenter,DET,OF,27.0,Cheating Raiders,1,$3.00,-30.0,413.0,383.0,3.12,-36.89999999999998,1.0
Victor Robles,SEA,OF,28.0,FA,1,$1.00,20.0,360.0,380.0,2.93,-39.89999999999998,1.0
Jake McCarthy,ARI,OF,,FA,,,-19.0,399.0,380.0,2.97,-39.89999999999998,1.0
Parker Meadows,DET,OF,25.0,Dip City Thunder,U,$-,-67.0,446.0,379.0,3.04,-40.89999999999998,1.0
Lars Nootbaar,STL,OF,27.0,Structure Fire,1,$1.00,10.0,368.0,378.0,3.13,-41.89999999999998,1.0
Tyler O'Neill,BAL,OF,30.0,Bayou Shooters,0,AAA opt,-17.0,393.0,376.0,3.27,-43.89999999999998,1.0
Willi Castro,MIN,2B/OF/3B/SS,28.0,FA,1,$1.00,-71.0,446.0,375.0,2.87,-44.89999999999998,1.0
Brandon Marsh,PHI,OF,,FA,,,24.0,349.0,373.0,2.95,-46.89999999999998,1.0
Spencer Steer,CIN,OF/1B,27.0,Dip City Thunder,1,$1.00,-142.0,514.0,372.0,3.24,-47.89999999999998,1.0
TJ Friedl,CIN,OF,29.0,FA,1,$1.00,28.0,343.0,371.0,3.09,-48.89999999999998,1.0
Jung Hoo Lee,SFG,OF,26.0,West Coast Spartans,2,$1.00,-10.0,375.0,365.0,3.02,-54.89999999999998,1.0
Jo Adell,LAA,OF,26.0,Structure Fire,2,$1.00,15.0,347.0,362.0,2.98,-57.89999999999998,1.0
Nolan Jones,COL,OF,27.0,Country Strong,2,$4.50,29.0,332.0,361.0,3.04,-58.89999999999998,0.0
Byron Buxton,MIN,OF,,FA,,,-18.0,371.0,353.0,3.39,-66.89999999999998,0.0
Trevor Larnach,MIN,OF,,FA,,,22.0,330.0,352.0,3.03,-67.89999999999998,0.0
Jordan Walker,STL,OF,23.0,Springfield Zephyrs,U,$-,20.0,331.0,351.0,2.78,-68.89999999999998,0.0
Garrett Mitchell,MIL,OF,26.0,FA,1,$1.00,-34.0,385.0,351.0,3.02,-68.89999999999998,0.0
Alec Burleson,STL,OF,,FA,,,-85.0,431.0,346.0,2.94,-73.89999999999998,0.0
Michael Conforto,LAD,OF,32.0,FA,1,$1.00,13.0,331.0,344.0,2.95,-75.89999999999998,0.0
Evan Carter,TEX,OF,22.0,West Coast Spartans,2,$1.00,-12.0,351.0,339.0,2.98,-80.89999999999998,0.0
MJ Melendez,KCR,OF,26.0,Bayou Shooters,1,$1.00,0.0,337.0,337.0,2.82,-82.89999999999998,0.0
Wilyer Abreu,BOS,OF,,FA,,,-83.0,419.0,336.0,3.05,-83.89999999999998,0.0
Luke Raley,SEA,OF/1B,,FA,,,-23.0,358.0,335.0,2.83,-84.89999999999998,0.0
Mike Yastrzemski,SFG,OF,,FA,,,-29.0,358.0,329.0,2.74,-90.89999999999998,0.0
Jacob Young,WSN,OF,,FA,,,-31.0,358.0,327.0,2.57,-92.89999999999998,0.0
Matt Vierling,DET,OF/3B,,FA,,,-60.0,383.0,323.0,2.85,-96.89999999999998,0.0
Andrew Benintendi,CHW,OF,,FA,,,-61.0,375.0,314.0,2.8,-105.89999999999998,0.0
Jonny DeLuca,TBR,OF,,FA,,,-14.0,327.0,313.0,2.65,-106.89999999999998,0.0
Ceddanne Rafaela,BOS,OF/SS,24.0,Springfield Zephyrs,U,$-,-92.0,401.0,309.0,2.83,-110.89999999999998,0.0
Kyle Isbel,KCR,OF,,FA,,,-18.0,325.0,307.0,2.53,-112.89999999999998,0.0
Jake Fraley,CIN,OF,,FA,,,20.0,285.0,305.0,2.9,-114.89999999999998,0.0
Max Kepler,PHI,OF,32.0,FA,1,$1.00,49.0,255.0,304.0,2.75,-115.89999999999998,0.0
Sal Frelick,MIL,OF,25.0,West Coast Spartans,2,$1.00,-48.0,351.0,303.0,2.68,-116.89999999999998,0.0
Austin Hays,CIN,OF,,FA,,,91.0,209.0,300.0,2.68,-119.89999999999998,0.0
Tommy Pham,PIT,OF,,FA,,,-28.0,324.0,296.0,2.83,-123.89999999999998,0.0
Chas McCormick,HOU,OF,30.0,FA,1,$1.00,4.0,289.0,293.0,2.7,-126.89999999999998,0.0
Jose Siri,NYM,OF,,FA,,,94.0,197.0,291.0,2.83,-128.89999999999998,0.0
Jake Meyers,HOU,OF,,FA,,,-60.0,349.0,289.0,2.55,-130.89999999999998,0.0
Jesse Winker,NYM,OF,,FA,,,-42.0,329.0,287.0,2.78,-132.89999999999998,0.0
Dylan Moore,SEA,2B/OF/3B/SS,32.0,FA,1,$1.00,-143.0,427.0,284.0,2.81,-135.89999999999998,0.0
Miguel Vargas,CHW,OF/3B,25.0,Springfield Zephyrs,U,$-,30.0,251.0,281.0,2.64,-138.89999999999998,0.0
Jordan Beck,COL,OF,,FA,,,20.0,251.0,271.0,2.64,-148.89999999999998,0.0
Roman Anthony,BOS,OF,,West Coast Spartans,U,$-,106.0,164.0,270.0,3.0,-149.89999999999998,0.0
Heston Kjerstad,BAL,OF,26.0,Detroit Nittany Tide,U,$-,-16.0,283.0,267.0,2.71,-152.89999999999998,0.0
Mike Tauchman,CHW,OF,,FA,,,-46.0,311.0,265.0,2.72,-154.89999999999998,0.0
Hunter Renfroe,KCR,OF,,FA,,,-50.0,315.0,265.0,2.7,-154.89999999999998,0.0
