NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
Emmanuel Clase,CLE,RP,27.0,FA,1,$1.00,-74.7,626.0,551.3,8.55,212.90199999999996,11.709609999999998
Edwin Diaz,NYM,RP,31.0,Bayou Shooters,2,$1.00,60.49,487.0,547.49,8.89,209.092,11.500060000000001
Josh Hader,HOU,RP,31.0,FA,1,$1.00,-11.74,544.0,532.26,8.71,193.862,10.66241
Ryan Helsley,STL,RP,30.0,FA,1,$1.00,-19.48,549.0,529.52,8.74,191.122,10.51171
Raisel Iglesias,ATL,RP,35.0,FA,1,$1.00,27.44,501.0,528.44,8.21,190.04200000000003,10.452310000000002
Devin Williams,NYY,RP,30.0,West Coast Spartans,2,$2.30,-63.09,566.0,502.91,9.02,164.512,9.04816
Mason Miller,ATH,RP,26.0,Dip City Thunder,2,$1.00,4.0,477.0,481.0,7.98,142.60199999999998,7.8431099999999985
Jhoan Duran,MIN,RP,27.0,FA,1,$1.00,-9.57,485.0,475.43,7.91,137.03199999999998,7.536759999999999
Ryan Walker,SFG,RP,29.0,FA,1,$1.00,27.75,431.0,458.75,7.04,120.35199999999998,6.619359999999999
Felix Bautista,BAL,RP,,Country Strong,3,$1.00,-29.38,479.0,449.62,8.67,111.22199999999998,6.117209999999999
Andres Munoz,SEA,RP,26.0,Structure Fire,1,$1.15,-20.16,467.0,446.84,7.79,108.44199999999996,5.9643099999999984
Jeff Hoffman,TOR,RP,32.0,FA,1,$1.00,51.26,384.0,435.26,7.2,96.86199999999997,5.327409999999998
Robert Suarez,SDP,RP,34.0,FA,1,$1.00,-97.74,525.0,427.26,7.29,88.86199999999997,4.887409999999998
Tanner Scott,LAD,RP,30.0,FA,1,$1.00,-18.04,433.0,414.96,6.56,76.56199999999995,4.2109099999999975
Bowden Francis,TOR,SP/RP,29.0,FA,1,$1.00,-24.83,383.0,358.17,11.59,32.23100000000005,3.3842550000000053
Trevor Megill,MIL,RP,31.0,FA,1,$1.00,55.02,333.0,388.02,7.14,49.62199999999996,2.7292099999999975
Alexis Diaz,CIN,RP,28.0,FA,1,$1.00,-68.13,447.0,378.87,6.14,40.47199999999998,2.225959999999999
Justin Martinez,ARI,RP,,FA,,,-39.08,417.0,377.92,6.15,39.52199999999999,2.1737099999999994
David Bednar,PIT,RP,30.0,FA,1,$1.00,-65.34,442.0,376.66,6.5,38.262,2.10441
Clay Holmes,NYM,RP,32.0,FA,1,$1.00,111.27,234.0,345.27,8.44,19.331000000000017,2.0297550000000015
