NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
Tarik Skubal,DET,SP,28.0,Cheating Raiders,1,40%,-47.81,615.0,567.19,19.24,241.2510000000001,25.33135500000001
Zack Wheeler,PHI,SP,35.0,FA,1,$1.00,-45.98,599.0,553.02,18.4,227.081,23.843504999999997
Shohei Ohtani,LAD,DH/SP,30.0,FA,1,$1.00,-389.0,1076.0,687.0,4.72,267.1,22.703500000000002
Paul Skenes,PIT,SP,23.0,Detroit Nittany Tide,2,$1.00,-22.56,555.0,532.44,18.22,206.5010000000001,21.68260500000001
Logan Gilbert,SEA,SP,28.0,Cheating Raiders,1,40%,-41.51,572.0,530.49,17.26,204.55100000000004,21.477855000000005
Dylan Cease,SDP,SP,29.0,Cheating Raiders,1,60%,-47.55,570.0,522.45,17.01,196.51100000000008,20.633655000000008
Framber Valdez,HOU,SP,31.0,FA,1,$1.00,-47.61,555.0,507.39,17.69,181.451,19.052355
Pablo Lopez,MIN,SP,29.0,FA,1,$1.00,-26.65,531.0,504.35,16.61,178.41100000000006,18.733155000000007
Cole Ragans,KCR,SP,27.0,Young Bucks,2,$5.45,-66.09,564.0,497.91,16.73,171.97100000000006,18.056955000000006
Corbin Burnes,ARI,SP,30.0,Cheating Raiders,1,80%,-58.5,556.0,497.5,16.58,171.56100000000004,18.013905000000005
Logan Webb,SFG,SP,28.0,FA,1,$1.00,-26.63,522.0,495.37,16.29,169.43100000000004,17.790255000000002
Aaron Nola,PHI,SP,32.0,FA,1,$1.00,-53.14,540.0,486.86,16.19,160.92100000000005,16.896705000000004
Luis Castillo,SEA,SP,32.0,FA,1,$1.00,-15.76,502.0,486.24,16.24,160.30100000000004,16.831605000000003
Garrett Crochet,BOS,SP,26.0,Young Bucks,U,$-,-78.23,554.0,475.77,16.17,149.83100000000002,15.732255000000002
Michael King,SDP,SP,30.0,Young Bucks,1,$4.15,-21.6,497.0,475.4,15.77,149.461,15.693405
Blake Snell,LAD,SP,32.0,FA,1,$1.00,-69.96,545.0,475.04,17.02,149.10100000000006,15.655605000000005
Chris Sale,ATL,SP,36.0,FA,1,$1.00,-51.79,521.0,469.21,18.19,143.27100000000002,15.043455000000002
Kevin Gausman,TOR,SP,34.0,FA,1,$1.00,-24.32,493.0,468.68,15.84,142.74100000000004,14.987805000000003
Tanner Bibee,CLE,SP,26.0,Cheating Raiders,2,$1.00,-27.15,489.0,461.85,16.0,135.91100000000006,14.270655000000005
Shota Imanaga,CHC,SP,31.0,Country Strong,2,$2.35,-26.33,488.0,461.67,16.55,135.73100000000005,14.251755000000005
Zac Gallen,ARI,SP,29.0,FA,1,$1.00,-44.44,505.0,460.56,15.96,134.62100000000004,14.135205000000003
Freddy Peralta,MIL,SP,29.0,Country Strong,1,60%,-18.5,478.0,459.5,15.62,133.56100000000004,14.023905000000003
Hunter Brown,HOU,SP,26.0,Midtown Jaguars,1,$1.00,-39.84,498.0,458.16,15.86,132.22100000000006,13.883205000000006
Sonny Gray,STL,SP,35.0,FA,1,$1.00,-42.57,495.0,452.43,16.57,126.49100000000004,13.281555000000004
Max Fried,NYY,SP,31.0,FA,1,$1.00,-77.66,528.0,450.34,16.53,124.401,13.062104999999999
Bailey Ober,MIN,SP,29.0,FA,1,$1.00,-48.74,499.0,450.26,15.55,124.32100000000004,13.053705000000004
Carlos Rodon,NYY,SP,32.0,Country Strong,1,$5.50,-19.53,468.0,448.47,15.84,122.53100000000006,12.865755000000005
Bryce Miller,SEA,SP,26.0,Midtown Jaguars,U,$-,-37.85,485.0,447.15,15.22,121.211,12.727155
Yusei Kikuchi,LAA,SP,34.0,FA,1,$1.00,3.96,443.0,446.96,14.82,121.02100000000002,12.707205000000002
Spencer Schwellenbach,ATL,SP,,FA,,,14.08,432.0,446.08,15.85,120.14100000000002,12.614805000000002
Seth Lugo,KCR,SP,35.0,FA,1,$1.00,-7.45,453.0,445.55,14.76,119.61100000000005,12.559155000000004
Joe Ryan,MIN,SP,29.0,FA,1,$1.00,-40.76,480.0,439.24,16.15,113.30100000000004,11.896605000000005
Jose Berrios,TOR,SP,31.0,FA,1,$1.00,-8.1,447.0,438.9,14.57,112.961,11.860904999999999
Yoshinobu Yamamoto,LAD,SP,26.0,Country Strong,4,$1.00,-61.36,500.0,438.64,17.04,112.70100000000002,11.833605000000002
Justin Steele,CHC,SP,29.0,FA,1,$1.00,-62.04,500.0,437.96,15.18,112.02100000000002,11.762205000000002
George Kirby,SEA,SP,27.0,Ryno World,1,$1.00,-77.82,505.0,427.18,16.08,101.24100000000004,10.630305000000003
Chris Bassitt,TOR,SP,36.0,FA,1,$1.00,-29.54,454.0,424.46,14.39,98.52100000000002,10.344705000000001
Jack Flaherty,DET,SP,29.0,Ryno World,1,$2.05,-46.35,470.0,423.65,15.26,97.711,10.259654999999999
MacKenzie Gore,WSN,SP,26.0,Detroit Nittany Tide,1,$1.00,-18.68,442.0,423.32,14.17,97.38100000000004,10.225005000000005
Taj Bradley,TBR,SP,24.0,Bayou Shooters,U,$-,-6.64,428.0,421.36,14.75,95.42100000000003,10.019205000000003
Cristopher Sanchez,PHI,SP,28.0,Country Strong,2,$1.50,-60.44,481.0,420.56,14.47,94.62100000000004,9.935205000000003
Zach Eflin,BAL,SP,31.0,FA,1,$1.00,-4.71,425.0,420.29,14.87,94.35100000000006,9.906855000000006
Mitch Keller,PIT,SP,29.0,Cheating Raiders,1,80%,-47.9,468.0,420.1,14.14,94.16100000000006,9.886905000000006
Reynaldo Lopez,ATL,SP,31.0,FA,1,$1.00,24.77,393.0,417.77,14.8,91.83100000000002,9.642255000000002
Kodai Senga,NYM,SP,32.0,FA,1,$1.00,-54.89,466.0,411.11,14.09,85.17100000000005,8.942955000000005
Tanner Houck,BOS,SP,29.0,Structure Fire,1,40%,-56.63,467.0,410.37,12.32,84.43100000000004,8.865255000000003
Hunter Greene,CIN,SP,25.0,Detroit Nittany Tide,1,$1.00,-58.12,468.0,409.88,16.16,83.94100000000003,8.813805000000002
Nathan Eovaldi,TEX,SP,35.0,FA,1,$1.00,-4.34,413.0,408.66,15.6,82.72100000000006,8.685705000000006
Jared Jones,PIT,SP,23.0,Young Bucks,U,$-,-56.91,465.0,408.09,12.84,82.15100000000001,8.625855000000001
Tyler Glasnow,LAD,SP,31.0,FA,1,$1.00,-54.2,462.0,407.8,18.08,81.86100000000005,8.595405000000005
Michael Wacha,KCR,SP,33.0,FA,1,$1.00,-17.02,421.0,403.98,14.63,78.04100000000005,8.194305000000005
Ronel Blanco,HOU,SP,31.0,FA,1,$1.00,-60.23,463.0,402.77,14.25,76.83100000000002,8.067255000000001
Sandy Alcantara,MIA,SP,,Country Strong,3,$1.05,61.89,338.0,399.89,15.12,73.95100000000002,7.764855000000002
Nick Pivetta,SDP,SP,32.0,FA,1,$1.00,-46.27,446.0,399.73,15.09,73.79100000000005,7.748055000000005
Ryan Pepiot,TBR,SP,27.0,Orlando Renegades,2,$1.00,13.11,386.0,399.11,14.42,73.17100000000005,7.682955000000005
Brandon Pfaadt,ARI,SP,26.0,Young Bucks,1,$1.00,-90.37,487.0,396.63,12.7,70.69100000000003,7.422555000000003
Brayan Bello,BOS,SP,26.0,Young Bucks,1,$1.00,-39.69,434.0,394.31,14.19,68.37100000000004,7.178955000000004
Erick Fedde,STL,SP,32.0,FA,1,$1.00,-38.52,432.0,393.48,13.57,67.54100000000005,7.091805000000005
Ranger Suarez,PHI,SP,29.0,FA,1,$1.00,-38.96,432.0,393.04,12.21,67.10100000000006,7.0456050000000054
Brady Singer,CIN,SP,28.0,Bayou Shooters,2,$3.00,-60.51,453.0,392.49,13.54,66.55100000000004,6.987855000000004
Jameson Taillon,CHC,SP,33.0,Detroit Nittany Tide,0,AAA opt,17.94,369.0,386.94,13.69,61.00100000000003,6.405105000000003
Robbie Ray,SFG,SP,33.0,FA,1,$1.00,45.11,337.0,382.11,14.84,56.17100000000005,5.897955000000005
Roki Sasaki,LAD,SP,,Young Bucks,U,$-,-13.92,395.0,381.08,16.78,55.14100000000002,5.789805000000002
Merrill Kelly,ARI,SP,36.0,FA,1,$1.00,-40.44,417.0,376.56,14.67,50.62100000000004,5.315205000000004
Shane McClanahan,TBR,SP,,Structure Fire,1,40%,29.92,346.0,375.92,14.3,49.98100000000005,5.248005000000005
Luis Severino,ATH,SP,31.0,Dip City Thunder,0,AAA opt,-61.01,436.0,374.99,12.94,49.051000000000045,5.150355000000005
Grayson Rodriguez,BAL,SP,25.0,Midtown Jaguars,U,$-,-76.62,449.0,372.38,16.18,46.44100000000003,4.876305000000003
Sean Manaea,NYM,SP,33.0,FA,1,$1.00,-72.9,444.0,371.1,14.54,45.16100000000006,4.741905000000006
JP Sears,ATH,SP,29.0,FA,1,$1.00,29.03,341.0,370.03,12.53,44.09100000000001,4.629555000000001
Jesus Luzardo,PHI,SP,27.0,Structure Fire,3,$2.00,43.86,325.0,368.86,11.89,42.92100000000005,4.506705000000005
Nestor Cortes,MIL,SP,30.0,Springfield Zephyrs,1,$1.50,-29.48,397.0,367.52,10.76,41.58100000000002,4.366005000000001
Spencer Arrighetti,HOU,SP,25.0,FA,1,$1.00,-23.45,384.0,360.55,13.53,34.61100000000005,3.6341550000000047
Bryan Woo,SEA,SP,25.0,FA,1,$1.00,-22.61,382.0,359.39,14.29,33.45100000000002,3.512355000000002
Tyler Anderson,LAA,SP,35.0,Midtown Jaguars,0,AAA opt,-2.69,362.0,359.31,12.64,33.37100000000004,3.503955000000004
Bowden Francis,TOR,SP/RP,29.0,FA,1,$1.00,-24.83,383.0,358.17,11.59,32.23100000000005,3.3842550000000053
Charlie Morton,BAL,SP,41.0,FA,1,$1.00,-55.7,412.0,356.3,13.71,30.361000000000047,3.1879050000000047
Nick Lodolo,CIN,SP,27.0,Detroit Nittany Tide,1,$1.00,-9.19,363.0,353.81,14.73,27.87100000000004,2.9264550000000042
Dean Kremer,BAL,SP,29.0,FA,1,$1.00,36.59,317.0,353.59,13.32,27.65100000000001,2.903355000000001
Miles Mikolas,STL,SP,36.0,Dip City Thunder,0,AAA opt,-29.87,381.0,351.13,12.22,25.19100000000003,2.6450550000000033
Spencer Strider,ATL,SP,26.0,FA,1,$1.00,-5.65,356.0,350.35,18.07,24.411000000000055,2.563155000000006
Jake Irvin,WSN,SP,28.0,Ryno World,0,AAA opt,-48.64,396.0,347.36,12.35,21.42100000000005,2.2492050000000052
Gavin Williams,CLE,SP,25.0,Bayou Shooters,U,$-,-17.56,360.0,342.44,13.26,16.501000000000033,1.7326050000000035
Yu Darvish,SDP,SP,38.0,FA,1,$1.00,41.97,299.0,340.97,14.87,15.031000000000065,1.5782550000000066
Aaron Civale,MIL,SP,30.0,FA,1,$1.00,-59.73,399.0,339.27,10.54,13.331000000000016,1.3997550000000016
Reese Olson,DET,SP,25.0,Springfield Zephyrs,2,$1.00,-52.13,390.0,337.87,12.94,11.93100000000004,1.252755000000004
David Peterson,NYM,SP,,FA,,,43.07,293.0,336.07,12.38,10.131000000000029,1.063755000000003
Jeffrey Springs,ATH,SP,32.0,FA,1,$1.00,22.03,314.0,336.03,11.72,10.091000000000008,1.059555000000001
Jose Soriano,LAA,SP,,FA,,,39.87,296.0,335.87,13.26,9.93100000000004,1.042755000000004
Nick Martinez,CIN,SP/RP,,FA,,,-40.64,376.0,335.36,8.75,9.42100000000005,1.0
Shane Baz,TBR,SP,26.0,Young Bucks,U,$-,-79.33,414.0,334.67,11.15,8.731000000000051,1.0
