NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
Bobby Witt Jr.,KCR,SS,25.0,Cheating Raiders,1,$1.00,-74.0,708.0,634.0,4.14,214.1,18.1985
Elly De La Cruz,CIN,SS,23.0,Structure Fire,2,$1.00,-44.0,652.0,608.0,4.06,188.1,15.9885
Mookie Betts,LAD,OF/SS,32.0,FA,1,$1.00,-18.0,595.0,577.0,3.89,157.10000000000002,13.353500000000002
Gunnar Henderson,BAL,SS,24.0,Country Strong,2,$1.00,-75.0,648.0,573.0,3.88,153.10000000000002,13.013500000000002
Francisco Lindor,NYM,SS,31.0,FA,1,$1.00,-45.0,612.0,567.0,3.71,147.10000000000002,12.503500000000003
Trea Turner,PHI,SS,32.0,FA,1,$1.00,-44.0,559.0,515.0,3.53,95.10000000000002,8.083500000000003
Oneil Cruz,PIT,OF/SS,26.0,Bayou Shooters,2,$1.00,25.0,483.0,508.0,3.53,88.10000000000002,7.488500000000003
Willy Adames,SFG,SS,29.0,FA,1,$1.00,-28.0,526.0,498.0,3.31,78.10000000000002,6.638500000000002
Corey Seager,TEX,SS,31.0,Country Strong,1,$7.50,-49.0,521.0,472.0,3.73,52.10000000000002,4.428500000000002
CJ Abrams,WSN,SS,24.0,Country Strong,8,$1.00,-37.0,506.0,469.0,3.38,49.10000000000002,4.173500000000002
Ezequiel Tovar,COL,SS,23.0,Orlando Renegades,4,$1.05,-31.0,494.0,463.0,3.09,43.10000000000002,3.663500000000002
Dansby Swanson,CHC,SS,31.0,FA,1,$1.00,-36.0,497.0,461.0,3.09,41.10000000000002,3.4935000000000023
Anthony Volpe,NYY,SS,24.0,Structure Fire,7,$2.50,-67.0,509.0,442.0,3.03,22.100000000000023,1.878500000000002
Matt McLain,CIN,2B/SS,,West Coast Spartans,1,$6.10,-69.0,510.0,441.0,3.48,21.100000000000023,1.793500000000002
Jeremy Pena,HOU,SS,27.0,Dip City Thunder,1,40%,-38.0,477.0,439.0,2.9,19.100000000000023,1.623500000000002
Bo Bichette,TOR,SS,27.0,Midtown Jaguars,1,60%,9.0,422.0,431.0,3.07,11.100000000000025,1.0
Xander Bogaerts,SDP,2B/SS,32.0,FA,1,$1.00,-9.0,439.0,430.0,2.97,10.100000000000025,1.0
Masyn Winn,STL,SS,23.0,Springfield Zephyrs,U,$-,-22.0,450.0,428.0,3.01,8.100000000000023,1.0
Xavier Edwards,MIA,SS,25.0,FA,1,$1.00,4.0,416.0,420.0,3.12,0.1000000000000227,1.0
Tommy Edman,LAD,OF/SS,30.0,FA,1,$1.00,-14.0,413.0,399.0,3.04,-20.899999999999977,1.0
Zach Neto,LAA,SS,24.0,Springfield Zephyrs,2,$1.00,-53.0,442.0,389.0,3.19,-30.899999999999977,1.0
Tyler Fitzgerald,SFG,SS,,FA,,,-28.0,416.0,388.0,2.91,-31.899999999999977,1.0
Carlos Correa,MIN,SS,30.0,FA,1,$1.00,-43.0,431.0,388.0,3.23,-31.899999999999977,1.0
Willi Castro,MIN,2B/OF/3B/SS,28.0,FA,1,$1.00,-71.0,446.0,375.0,2.87,-44.89999999999998,1.0
J.P. Crawford,SEA,SS,30.0,FA,1,$1.00,-2.0,361.0,359.0,2.72,-60.89999999999998,0.0
Matt Shaw,CHC,2B/3B/SS,,Cheating Raiders,U,$-,-43.0,396.0,353.0,3.05,-66.89999999999998,0.0
Geraldo Perdomo,ARI,SS,,FA,,,84.0,260.0,344.0,2.66,-75.89999999999998,0.0
Trevor Story,BOS,SS,32.0,FA,1,$1.00,-19.0,362.0,343.0,3.04,-76.89999999999998,0.0
Brayan Rocchio,CLE,SS,,FA,,,27.0,311.0,338.0,2.4,-81.89999999999998,0.0
Ha-Seong Kim,TBR,SS,29.0,FA,1,$1.00,24.0,302.0,326.0,3.03,-93.89999999999998,0.0
Jacob Wilson,ATH,SS,,FA,,,-22.0,334.0,312.0,2.5,-107.89999999999998,0.0
Isiah Kiner-Falefa,PIT,2B/3B/SS,,FA,,,87.0,223.0,310.0,2.49,-109.89999999999998,0.0
Ceddanne Rafaela,BOS,OF/SS,24.0,Springfield Zephyrs,U,$-,-92.0,401.0,309.0,2.83,-110.89999999999998,0.0
Orlando Arcia,ATL,SS,30.0,Cheating Raiders,0,AAA opt,-59.0,368.0,309.0,2.48,-110.89999999999998,0.0
Dylan Moore,SEA,2B/OF/3B/SS,32.0,FA,1,$1.00,-143.0,427.0,284.0,2.81,-135.89999999999998,0.0
Brooks Lee,MIN,3B/SS,24.0,West Coast Spartans,U,$-,-9.0,275.0,266.0,2.58,-153.89999999999998,0.0
Josh Smith,TEX,3B/SS,,FA,,,-59.0,316.0,257.0,2.62,-162.89999999999998,0.0
Colson Montgomery,CHW,SS,,Cheating Raiders,U,$-,19.0,225.0,244.0,2.42,-175.89999999999998,0.0
Diego Castillo,COL,3B/SS,,FA,,,51.89,0.0,51.89,2.16,-286.50800000000004,0.0
Jose Caballero,TBR,2B/3B/SS,28.0,FA,1,$1.00,-181.0,415.0,234.0,2.86,-185.9,0.0
Ernie Clement,TOR,3B/SS,,FA,,,-38.0,256.0,218.0,2.46,-201.9,0.0
Paul DeJong,WSN,3B/SS,,FA,,,7.0,207.0,214.0,2.41,-205.9,0.0
Javier Baez,DET,SS,32.0,FA,1,$1.00,96.0,115.0,211.0,2.52,-208.9,0.0
Kristian Campbell,BOS,2B/OF/SS,,FA,,,107.0,103.0,210.0,3.09,-209.9,0.0
Trey Sweeney,DET,SS,,FA,,,-195.0,377.0,182.0,2.52,-237.9,0.0
Jordan Lawlar,ARI,3B/SS,,Structure Fire,U,$-,-133.0,310.0,177.0,3.02,-242.9,0.0
Zach McKinstry,DET,3B/SS,,FA,,,-60.0,219.0,159.0,2.43,-260.9,0.0
Taylor Walls,TBR,SS,,FA,,,-42.0,195.0,153.0,2.5,-266.9,0.0
Gabriel Arias,CLE,3B/SS,,FA,,,105.0,33.0,138.0,2.37,-281.9,0.0
Oswald Peraza,NYY,SS,25.0,Midtown Jaguars,U,$-,2.0,136.0,138.0,2.5,-281.9,0.0
Kevin Newman,LAA,2B/SS,,FA,,,-28.0,162.0,134.0,2.19,-285.9,0.0
Edmundo Sosa,PHI,2B/3B/SS,,FA,,,-34.0,166.0,132.0,2.4,-287.9,0.0
Luisangel Acuna,NYM,SS,23.0,Springfield Zephyrs,U,$-,4.0,124.0,128.0,2.82,-291.9,0.0
David Hamilton,BOS,2B/SS,,FA,,,-102.0,222.0,120.0,3.01,-299.9,0.0
Miguel Rojas,LAD,SS,,FA,,,-86.0,205.0,119.0,2.34,-300.9,0.0
Carson Williams,TBR,SS,,Midtown Jaguars,U,$-,65.0,50.0,115.0,2.23,-304.9,0.0
Brooks Baldwin,CHW,2B/SS,,FA,,,-58.0,171.0,113.0,2.5,-306.9,0.0
Javier Sanoja,MIA,OF/SS,,FA,,,28.0,83.0,111.0,2.28,-308.9,0.0
Brett Wisely,SFG,2B/SS,,FA,,,-3.0,104.0,101.0,2.24,-318.9,0.0
Blaze Alexander,ARI,2B/SS,,FA,,,9.0,89.0,98.0,2.29,-321.9,0.0
Max Schuemann,ATH,3B/SS,,FA,,,-77.0,170.0,93.0,2.32,-326.9,0.0
Daniel Schneemann,CLE,OF/SS,,FA,,,-198.0,289.0,91.0,2.31,-328.9,0.0
Vidal Brujan,CHC,2B/SS,,FA,,,-47.0,137.0,90.0,2.19,-329.9,0.0
