Name,Team,PTS,PTS/G,NameASCII,FangraphsId,MLBAMID,VORP,isRP
Shohei Ohtani,LAD,687.0,4.72,Shohei Ohtani,19755,660271,267.1,False
Aaron Judge,NYY,656.0,4.5,Aaron Judge,15640,592450,236.10000000000002,False
Bobby Witt Jr.,KCR,634.0,4.14,Bobby Witt Jr.,25764,677951,214.10000000000002,False
Juan Soto,NYM,631.0,4.12,Juan Soto,20123,665742,211.10000000000002,False
Elly De La Cruz,CIN,608.0,4.06,Elly De La Cruz,26668,682829,188.10000000000002,False
José Ramírez,CLE,607.0,3.98,Jose Ramirez,13510,608070,187.10000000000002,False
Corbin Carroll,ARI,589.0,3.92,Corbin Carroll,25878,682998,169.10000000000002,False
Kyle Tucker,CHC,588.0,3.98,Kyle Tucker,18345,663656,168.10000000000002,False
Mookie Betts,LAD,577.0,3.89,Mookie Betts,13611,605141,157.10000000000002,False
Gunnar Henderson,BAL,573.0,3.88,Gunnar Henderson,26289,683002,153.10000000000002,False
Vladimir Guerrero Jr.,TOR,571.0,3.71,Vladimir Guerrero Jr.,19611,665489,151.10000000000002,False
Francisco Lindor,NYM,567.0,3.71,Francisco Lindor,12916,596019,147.10000000000002,False
Yordan Alvarez,HOU,565.0,4.11,Yordan Alvarez,19556,670541,145.10000000000002,False
Fernando Tatis Jr.,SDP,563.0,3.86,Fernando Tatis Jr.,19709,665487,143.10000000000002,False
Kyle Schwarber,PHI,551.0,3.7,Kyle Schwarber,16478,656941,131.10000000000002,False
Bryce Harper,PHI,547.0,3.76,Bryce Harper,11579,547180,127.10000000000002,False
Matt Olson,ATL,545.0,3.52,Matt Olson,14344,621566,125.10000000000002,False
Julio Rodríguez,SEA,545.0,3.7,Julio Rodriguez,23697,677594,125.10000000000002,False
Jarren Duran,BOS,535.0,3.61,Jarren Duran,24617,680776,115.10000000000002,False
Austin Riley,ATL,533.0,3.51,Austin Riley,18360,663586,113.10000000000002,False
Pete Alonso,NYM,531.0,3.46,Pete Alonso,19251,624413,111.10000000000002,False
Freddie Freeman,LAD,527.0,3.67,Freddie Freeman,5361,518692,107.10000000000002,False
Ketel Marte,ARI,526.0,3.73,Ketel Marte,13613,606466,106.10000000000002,False
Jackson Chourio,MIL,524.0,3.54,Jackson Chourio,28806,694192,104.10000000000002,False
Jazz Chisholm Jr.,NYY,524.0,3.72,Jazz Chisholm Jr.,20454,665862,104.10000000000002,False
Rafael Devers,BOS,523.0,3.65,Rafael Devers,17350,646240,103.10000000000002,False
Trea Turner,PHI,515.0,3.53,Trea Turner,16252,607208,95.10000000000002,False
Jackson Merrill,SDP,512.0,3.37,Jackson Merrill,29490,701538,92.10000000000002,False
Brent Rooker,ATH,510.0,3.6,Brent Rooker,19627,667670,90.10000000000002,False
Manny Machado,SDP,509.0,3.44,Manny Machado,11493,592518,89.10000000000002,False
Marcell Ozuna,ATL,508.0,3.44,Marcell Ozuna,10324,542303,88.10000000000002,False
Oneil Cruz,PIT,508.0,3.53,Oneil Cruz,21711,665833,88.10000000000002,False
Anthony Santander,TOR,499.0,3.38,Anthony Santander,14551,623993,79.10000000000002,False
Willy Adames,SFG,498.0,3.31,Willy Adames,15986,642715,78.10000000000002,False
Ian Happ,CHC,496.0,3.31,Ian Happ,17919,664023,76.10000000000002,False
Teoscar Hernández,LAD,496.0,3.4,Teoscar Hernandez,13066,606192,76.10000000000002,False
William Contreras,MIL,492.0,3.32,William Contreras,20503,661388,72.10000000000002,False
Ronald Acuña Jr.,ATL,489.0,4.21,Ronald Acuna Jr.,18401,660670,69.10000000000002,False
Bryan Reynolds,PIT,488.0,3.29,Bryan Reynolds,19326,668804,68.10000000000002,False
Matt Chapman,SFG,484.0,3.27,Matt Chapman,16505,656305,64.10000000000002,False
Wyatt Langford,TEX,482.0,3.48,Wyatt Langford,33333,694671,62.10000000000002,False
Marcus Semien,TEX,481.0,3.26,Marcus Semien,12533,543760,61.10000000000002,False
James Wood,WSN,480.0,3.49,James Wood,29518,695578,60.10000000000002,False
Ozzie Albies,ATL,479.0,3.31,Ozzie Albies,16556,645277,59.10000000000002,False
Michael Harris II,ATL,478.0,3.4,Michael Harris II,25931,671739,58.10000000000002,False
Jose Altuve,HOU,478.0,3.35,Jose Altuve,5417,514888,58.10000000000002,False
Alex Bregman,BOS,476.0,3.27,Alex Bregman,17678,608324,56.10000000000002,False
Lawrence Butler,ATH,474.0,3.23,Lawrence Butler,22542,671732,54.10000000000002,False
Randy Arozarena,SEA,474.0,3.25,Randy Arozarena,19290,668227,54.10000000000002,False
Riley Greene,DET,473.0,3.32,Riley Greene,25976,682985,53.10000000000002,False
Taylor Ward,LAA,473.0,3.18,Taylor Ward,17548,621493,53.10000000000002,False
Corey Seager,TEX,472.0,3.73,Corey Seager,13624,608369,52.10000000000002,False
CJ Abrams,WSN,469.0,3.38,CJ Abrams,25768,682928,49.10000000000002,False
Brenton Doyle,COL,469.0,3.29,Brenton Doyle,25479,686668,49.10000000000002,False
Christian Walker,HOU,467.0,3.33,Christian Walker,13419,572233,47.10000000000002,False
Josh Naylor,ARI,465.0,3.31,Josh Naylor,18839,647304,45.10000000000002,False
Ezequiel Tovar,COL,463.0,3.09,Ezequiel Tovar,24064,678662,43.10000000000002,False
Dansby Swanson,CHC,461.0,3.09,Dansby Swanson,18314,621020,41.10000000000002,False
Vinnie Pasquantino,KCR,455.0,3.27,Vinnie Pasquantino,27676,686469,35.10000000000002,False
Luis Robert Jr.,CHW,453.0,3.36,Luis Robert Jr.,20043,673357,33.10000000000002,False
Steven Kwan,CLE,452.0,3.08,Steven Kwan,24610,680757,32.10000000000002,False
Triston Casas,BOS,450.0,3.24,Triston Casas,22514,671213,30.100000000000023,False
Paul Goldschmidt,NYY,450.0,3.18,Paul Goldschmidt,9218,502671,30.100000000000023,False
Nick Castellanos,PHI,450.0,3.04,Nick Castellanos,11737,592206,30.100000000000023,False
Mark Vientos,NYM,449.0,3.09,Mark Vientos,22184,668901,29.100000000000023,False
Seiya Suzuki,CHC,448.0,3.46,Seiya Suzuki,30116,673548,28.100000000000023,False
Adley Rutschman,BAL,448.0,3.07,Adley Rutschman,26288,668939,28.100000000000023,False
