Name_x,NameASCII,Pro,FangraphsId,PTS,PTS/G,VORP,isRP,EspnId,TJ,Level,Yrs,Cost,Note,contractType,EspnId_y,Name_y,Espn_proj,C,1B,2B,3B,SS,OF,Util,SP,RP,P,DefaultPos,PosStr,Projected $
Tarik Skubal,Tarik Skubal,DET,22267,567.19,19.24,241.2510000000001,False,42409,Cheating Raiders,MLB,1,40%,¹,arb1,42409,Tarik Skubal,615.0,False,False,False,False,False,False,False,True,False,True,SP,SP,25.33135500000001
Zack Wheeler,Zack Wheeler,PHI,10310,553.02,18.4,227.081,False,31267,FA,MLB,1,$1.00,,contract,31267,Zack Wheeler,599.0,False,False,False,False,False,False,False,True,False,True,SP,SP,23.843504999999997
Shohei Ohtani,Shohei Ohtani,LAD,19755,687.0,4.72,267.1,False,39832,FA,MLB,1,$1.00,,contract,39832,Shohei Ohtani,1076.0,False,False,False,False,False,False,True,True,False,True,SP,DH/SP,22.703500000000002
Paul Skenes,Paul Skenes,PIT,33677,532.44,18.22,206.5010000000001,False,4719507,Detroit Nittany Tide,MLB,2,$1.00,@,pre-arb,4719507,Paul Skenes,555.0,False,False,False,False,False,False,False,True,False,True,SP,SP,21.68260500000001
Logan Gilbert,Logan Gilbert,SEA,22250,530.49,17.26,204.55100000000004,False,41221,Cheating Raiders,MLB,1,40%,¹,arb1,41221,Logan Gilbert,572.0,False,False,False,False,False,False,False,True,False,True,SP,SP,21.477855000000005
Dylan Cease,Dylan Cease,SDP,18525,522.45,17.01,196.51100000000008,False,34943,Cheating Raiders,MLB,1,60%,²,arb2,34943,Dylan Cease,570.0,False,False,False,False,False,False,False,True,False,True,SP,SP,20.633655000000008
Aaron Judge,Aaron Judge,NYY,15640,656.0,4.5,236.1,False,33192,FA,MLB,1,$1.00,,contract,33192,Aaron Judge,741.0,False,False,False,False,False,True,True,False,False,False,OF,OF,20.0685
Framber Valdez,Framber Valdez,HOU,17295,507.39,17.69,181.451,False,36581,FA,MLB,1,$1.00,,contract,36581,Framber Valdez,555.0,False,False,False,False,False,False,False,True,False,True,SP,SP,19.052355
Pablo López,Pablo Lopez,MIN,17085,504.35,16.61,178.41100000000006,False,39671,FA,MLB,1,$1.00,,contract,39671,Pablo Lopez,531.0,False,False,False,False,False,False,False,True,False,True,SP,SP,18.733155000000007
Bobby Witt Jr.,Bobby Witt Jr.,KCR,25764,634.0,4.14,214.1,False,42403,Cheating Raiders,MLB,1,$1.00,@,pre-arb,42403,Bobby Witt Jr.,708.0,False,False,False,False,True,False,True,False,False,False,SS,SS,18.1985
Cole Ragans,Cole Ragans,KCR,21846,497.91,16.73,171.97100000000006,False,41054,Young Bucks,MLB,2,$5.45,,contract,41054,Cole Ragans,564.0,False,False,False,False,False,False,False,True,False,True,SP,SP,18.056955000000006
Corbin Burnes,Corbin Burnes,ARI,19361,497.5,16.58,171.56100000000004,False,39878,Cheating Raiders,MLB,1,80%,³,arb3,39878,Corbin Burnes,556.0,False,False,False,False,False,False,False,True,False,True,SP,SP,18.013905000000005
Juan Soto,Juan Soto,NYM,20123,631.0,4.12,211.1,False,36969,FA,MLB,1,$1.00,,contract,36969,Juan Soto,668.0,False,False,False,False,False,True,True,False,False,False,OF,OF,17.9435
Logan Webb,Logan Webb,SFG,17995,495.37,16.29,169.43100000000004,False,41216,FA,MLB,1,$1.00,,contract,41216,Logan Webb,522.0,False,False,False,False,False,False,False,True,False,True,SP,SP,17.790255000000002
Aaron Nola,Aaron Nola,PHI,16149,486.86,16.19,160.92100000000005,False,33709,FA,MLB,1,$1.00,,contract,33709,Aaron Nola,540.0,False,False,False,False,False,False,False,True,False,True,SP,SP,16.896705000000004
Luis Castillo,Luis Castillo,SEA,15689,486.24,16.24,160.30100000000004,False,35124,FA,MLB,1,$1.00,,contract,35124,Luis Castillo,502.0,False,False,False,False,False,False,False,True,False,True,SP,SP,16.831605000000003
Elly De La Cruz,Elly De La Cruz,CIN,26668,608.0,4.06,188.1,False,4917694,Structure Fire,MLB,2,$1.00,@,pre-arb,4917694,Elly De La Cruz,652.0,False,False,False,False,True,False,True,False,False,False,SS,SS,15.9885
José Ramírez,Jose Ramirez,CLE,13510,607.0,3.98,187.1,False,32801,FA,MLB,1,$1.00,,contract,32801,Jose Ramirez,651.0,False,False,False,True,False,False,True,False,False,False,3B,3B,15.903500000000001
Garrett Crochet,Garrett Crochet,BOS,27463,475.77,16.17,149.83100000000002,False,4297835,Young Bucks,AA,U,$-,,AA,4297835,Garrett Crochet,554.0,False,False,False,False,False,False,False,True,False,True,SP,SP,15.732255000000002
Michael King,Michael King,SDP,19853,475.4,15.77,149.461,False,40429,Young Bucks,MLB,1,$4.15,,contract,40429,Michael King,497.0,False,False,False,False,False,False,False,True,False,True,SP,SP,15.693405
Blake Snell,Blake Snell,LAD,13543,475.04,17.02,149.10100000000006,False,33748,FA,MLB,1,$1.00,,contract,33748,Blake Snell,545.0,False,False,False,False,False,False,False,True,False,True,SP,SP,15.655605000000005
Chris Sale,Chris Sale,ATL,10603,469.21,18.19,143.27100000000002,False,30948,FA,MLB,1,$1.00,,contract,30948,Chris Sale,521.0,False,False,False,False,False,False,False,True,False,True,SP,SP,15.043455000000002
Kevin Gausman,Kevin Gausman,TOR,14107,468.68,15.84,142.74100000000004,False,32667,FA,MLB,1,$1.00,,contract,32667,Kevin Gausman,493.0,False,False,False,False,False,False,False,True,False,True,SP,SP,14.987805000000003
Corbin Carroll,Corbin Carroll,ARI,25878,589.0,3.92,169.10000000000002,False,42404,West Coast Spartans,MLB,1,$1.00,@,pre-arb,42404,Corbin Carroll,612.0,False,False,False,False,False,True,True,False,False,False,OF,OF,14.373500000000003
Kyle Tucker,Kyle Tucker,CHC,18345,588.0,3.98,168.10000000000002,False,34967,Midtown Jaguars,MLB,1,60%,²,arb2,34967,Kyle Tucker,620.0,False,False,False,False,False,True,True,False,False,False,OF,OF,14.288500000000003
Tanner Bibee,Tanner Bibee,CLE,30134,461.85,16.0,135.91100000000006,False,4345278,Cheating Raiders,MLB,2,$1.00,@,pre-arb,4345278,Tanner Bibee,489.0,False,False,False,False,False,False,False,True,False,True,SP,SP,14.270655000000005
Shota Imanaga,Shota Imanaga,CHC,33829,461.67,16.55,135.73100000000005,False,5134630,Country Strong,MLB,2,$2.35,,contract,5134630,Shota Imanaga,488.0,False,False,False,False,False,False,False,True,False,True,SP,SP,14.251755000000005
Zac Gallen,Zac Gallen,ARI,19291,460.56,15.96,134.62100000000004,False,39910,FA,MLB,1,$1.00,,contract,39910,Zac Gallen,505.0,False,False,False,False,False,False,False,True,False,True,SP,SP,14.135205000000003
Freddy Peralta,Freddy Peralta,MIL,18679,459.5,15.62,133.56100000000004,False,39825,Country Strong,MLB,1,60%,²,arb2,39825,Freddy Peralta,478.0,False,False,False,False,False,False,False,True,False,True,SP,SP,14.023905000000003
Hunter Brown,Hunter Brown,HOU,25880,458.16,15.86,132.22100000000006,False,4717803,Midtown Jaguars,MLB,1,$1.00,@,pre-arb,4717803,Hunter Brown,498.0,False,False,False,False,False,False,False,True,False,True,SP,SP,13.883205000000006
Mookie Betts,Mookie Betts,LAD,13611,577.0,3.89,157.10000000000002,False,33039,FA,MLB,1,$1.00,,contract,33039,Mookie Betts,595.0,False,False,False,False,True,True,True,False,False,False,OF,OF/SS,13.353500000000002
Sonny Gray,Sonny Gray,STL,12768,452.43,16.57,126.49100000000004,False,32082,FA,MLB,1,$1.00,,contract,32082,Sonny Gray,495.0,False,False,False,False,False,False,False,True,False,True,SP,SP,13.281555000000004
Max Fried,Max Fried,NYY,13743,450.34,16.53,124.401,False,32685,FA,MLB,1,$1.00,,contract,32685,Max Fried,528.0,False,False,False,False,False,False,False,True,False,True,SP,SP,13.062104999999999
Bailey Ober,Bailey Ober,MIN,21224,450.26,15.55,124.32100000000004,False,3107919,FA,MLB,1,$1.00,,contract,3107919,Bailey Ober,499.0,False,False,False,False,False,False,False,True,False,True,SP,SP,13.053705000000004
Gunnar Henderson,Gunnar Henderson,BAL,26289,573.0,3.88,153.10000000000002,False,42507,Country Strong,MLB,2,$1.00,@,pre-arb,42507,Gunnar Henderson,648.0,False,False,False,False,True,False,True,False,False,False,SS,SS,13.013500000000002
Carlos Rodón,Carlos Rodon,NYY,16137,448.47,15.84,122.53100000000006,False,33696,Country Strong,MLB,1,$5.50,,contract,33696,Carlos Rodon,468.0,False,False,False,False,False,False,False,True,False,True,SP,SP,12.865755000000005
Vladimir Guerrero Jr.,Vladimir Guerrero Jr.,TOR,19611,571.0,3.71,151.10000000000002,False,35002,Bayou Shooters,MLB,1,80%,³,arb3,35002,Vladimir Guerrero Jr.,598.0,False,True,False,False,False,False,True,False,False,False,1B,1B,12.843500000000002
Bryce Miller,Bryce Miller,SEA,29837,447.15,15.22,121.211,False,4654313,Midtown Jaguars,AA,U,$-,,AA,4654313,Bryce Miller,485.0,False,False,False,False,False,False,False,True,False,True,SP,SP,12.727155
Yusei Kikuchi,Yusei Kikuchi,LAA,20633,446.96,14.82,121.02100000000002,False,41415,FA,MLB,1,$1.00,,contract,41415,Yusei Kikuchi,443.0,False,False,False,False,False,False,False,True,False,True,SP,SP,12.707205000000002
Spencer Schwellenbach,Spencer Schwellenbach,ATL,31846,446.08,15.85,120.14100000000002,False,4424862,FA,,,,,,4424862,Spencer Schwellenbach,432.0,False,False,False,False,False,False,False,True,False,True,SP,SP,12.614805000000002
Seth Lugo,Seth Lugo,KCR,12447,445.55,14.76,119.61100000000005,False,34873,FA,MLB,1,$1.00,,contract,34873,Seth Lugo,453.0,False,False,False,False,False,False,False,True,False,True,SP,SP,12.559155000000004
Francisco Lindor,Francisco Lindor,NYM,12916,567.0,3.71,147.10000000000002,False,32129,FA,MLB,1,$1.00,,contract,32129,Francisco Lindor,612.0,False,False,False,False,True,False,True,False,False,False,SS,SS,12.503500000000003
Yordan Alvarez,Yordan Alvarez,HOU,19556,565.0,4.11,145.10000000000002,False,36018,Orlando Renegades,MLB,1,80%,³,arb3,36018,Yordan Alvarez,585.0,False,False,False,False,False,True,True,False,False,False,OF,OF,12.333500000000003
Fernando Tatis Jr.,Fernando Tatis Jr.,SDP,19709,563.0,3.86,143.10000000000002,False,35983,Country Strong,MLB,3,$1.00,,contract,35983,Fernando Tatis Jr.,567.0,False,False,False,False,False,True,True,False,False,False,OF,OF,12.163500000000003
Joe Ryan,Joe Ryan,MIN,21390,439.24,16.15,113.30100000000004,False,42450,FA,MLB,1,$1.00,,contract,42450,Joe Ryan,480.0,False,False,False,False,False,False,False,True,False,True,SP,SP,11.896605000000005
José Berríos,Jose Berrios,TOR,14168,438.9,14.57,112.961,False,32811,FA,MLB,1,$1.00,,contract,32811,Jose Berrios,447.0,False,False,False,False,False,False,False,True,False,True,SP,SP,11.860904999999999
Yoshinobu Yamamoto,Yoshinobu Yamamoto,LAD,33825,438.64,17.04,112.70100000000002,False,4872587,Country Strong,MLB,4,$1.00,,contract,4872587,Yoshinobu Yamamoto,500.0,False,False,False,False,False,False,False,True,False,True,SP,SP,11.833605000000002
Justin Steele,Justin Steele,CHC,17312,437.96,15.18,112.02100000000002,False,41022,FA,MLB,1,$1.00,,contract,41022,Justin Steele,500.0,False,False,False,False,False,False,False,True,False,True,SP,SP,11.762205000000002
Emmanuel Clase,Emmanuel Clase,CLE,21032,551.3,8.55,212.90199999999996,True,41743,FA,MLB,1,$1.00,,contract,41743,Emmanuel Clase,626.0,False,False,False,False,False,False,False,False,True,True,RP,RP,11.709609999999998
Edwin Díaz,Edwin Diaz,NYM,14710,547.49,8.89,209.092,True,35394,Bayou Shooters,MLB,2,$1.00,@,pre-arb,35394,Edwin Diaz,487.0,False,False,False,False,False,False,False,False,True,True,RP,RP,11.500060000000001
Kyle Schwarber,Kyle Schwarber,PHI,16478,551.0,3.7,131.10000000000002,False,33712,FA,MLB,1,$1.00,,contract,33712,Kyle Schwarber,608.0,False,False,False,False,False,False,True,False,False,False,Util,DH,11.143500000000003
Bryce Harper,Bryce Harper,PHI,11579,547.0,3.76,127.10000000000002,False,30951,FA,MLB,1,$1.00,,contract,30951,Bryce Harper,565.0,False,True,False,False,False,False,True,False,False,False,1B,1B,10.803500000000003
Josh Hader,Josh Hader,HOU,14212,532.26,8.71,193.862,True,32760,FA,MLB,1,$1.00,,contract,32760,Josh Hader,544.0,False,False,False,False,False,False,False,False,True,True,RP,RP,10.66241
Matt Olson,Matt Olson,ATL,14344,545.0,3.52,125.10000000000002,False,32767,FA,MLB,1,$1.00,,contract,32767,Matt Olson,584.0,False,True,False,False,False,False,True,False,False,False,1B,1B,10.633500000000003
Julio Rodríguez,Julio Rodriguez,SEA,23697,545.0,3.7,125.10000000000002,False,41044,Dip City Thunder,MLB,1,40%,¹,arb1,41044,Julio Rodriguez,564.0,False,False,False,False,False,True,True,False,False,False,OF,OF,10.633500000000003
George Kirby,George Kirby,SEA,25436,427.18,16.08,101.24100000000004,False,42406,Ryno World,MLB,1,$1.00,@,pre-arb,42406,George Kirby,505.0,False,False,False,False,False,False,False,True,False,True,SP,SP,10.630305000000003
Ryan Helsley,Ryan Helsley,STL,18138,529.52,8.74,191.122,True,39909,FA,MLB,1,$1.00,,contract,39909,Ryan Helsley,549.0,False,False,False,False,False,False,False,False,True,True,RP,RP,10.51171
Raisel Iglesias,Raisel Iglesias,ATL,17130,528.44,8.21,190.04200000000003,True,33618,FA,MLB,1,$1.00,,contract,33618,Raisel Iglesias,501.0,False,False,False,False,False,False,False,False,True,True,RP,RP,10.452310000000002
Chris Bassitt,Chris Bassitt,TOR,12304,424.46,14.39,98.52100000000002,False,33148,FA,MLB,1,$1.00,,contract,33148,Chris Bassitt,454.0,False,False,False,False,False,False,False,True,False,True,SP,SP,10.344705000000001
Jack Flaherty,Jack Flaherty,DET,17479,423.65,15.26,97.711,False,33837,Ryno World,MLB,1,$2.05,,contract,33837,Jack Flaherty,470.0,False,False,False,False,False,False,False,True,False,True,SP,SP,10.259654999999999
MacKenzie Gore,MacKenzie Gore,WSN,22201,423.32,14.17,97.38100000000004,False,39636,Detroit Nittany Tide,MLB,1,$1.00,@,pre-arb,39636,MacKenzie Gore,442.0,False,False,False,False,False,False,False,True,False,True,SP,SP,10.225005000000005
Taj Bradley,Taj Bradley,TBR,22543,421.36,14.75,95.42100000000003,False,42480,Bayou Shooters,AA,U,$-,,AA,42480,Taj Bradley,428.0,False,False,False,False,False,False,False,True,False,True,SP,SP,10.019205000000003
Cristopher Sánchez,Cristopher Sanchez,PHI,20778,420.56,14.47,94.62100000000004,False,42359,Country Strong,MLB,2,$1.50,,contract,42359,Cristopher Sanchez,481.0,False,False,False,False,False,False,False,True,False,True,SP,SP,9.935205000000003
Zach Eflin,Zach Eflin,BAL,13774,420.29,14.87,94.35100000000006,False,32804,FA,MLB,1,$1.00,,contract,32804,Zach Eflin,425.0,False,False,False,False,False,False,False,True,False,True,SP,SP,9.906855000000006
Mitch Keller,Mitch Keller,PIT,17594,420.1,14.14,94.16100000000006,False,33722,Cheating Raiders,MLB,1,80%,³,arb3,33722,Mitch Keller,468.0,False,False,False,False,False,False,False,True,False,True,SP,SP,9.886905000000006
Jarren Duran,Jarren Duran,BOS,24617,535.0,3.61,115.10000000000002,False,41610,Dip City Thunder,MLB,1,$1.00,@,pre-arb,41610,Jarren Duran,589.0,False,False,False,False,False,True,True,False,False,False,OF,OF,9.783500000000002
Reynaldo López,Reynaldo Lopez,ATL,16400,417.77,14.8,91.83100000000002,False,33860,FA,MLB,1,$1.00,,contract,33860,Reynaldo Lopez,393.0,False,False,False,False,False,False,False,True,False,True,SP,SP,9.642255000000002
Austin Riley,Austin Riley,ATL,18360,533.0,3.51,113.10000000000002,False,34982,Cheating Raiders,MLB,1,60%,²,arb2,34982,Austin Riley,553.0,False,False,False,True,False,False,True,False,False,False,3B,3B,9.613500000000002
Pete Alonso,Pete Alonso,NYM,19251,531.0,3.46,111.10000000000002,False,37498,Structure Fire,MLB,1,$11.00,,contract,37498,Pete Alonso,571.0,False,True,False,False,False,False,True,False,False,False,1B,1B,9.443500000000002
Freddie Freeman,Freddie Freeman,LAD,5361,527.0,3.67,107.10000000000002,False,30193,FA,MLB,1,$1.00,,contract,30193,Freddie Freeman,565.0,False,True,False,False,False,False,True,False,False,False,1B,1B,9.103500000000002
Devin Williams,Devin Williams,NYY,15816,502.91,9.02,164.512,True,33224,West Coast Spartans,MLB,2,$2.30,,contract,33224,Devin Williams,566.0,False,False,False,False,False,False,False,False,True,True,RP,RP,9.04816
Ketel Marte,Ketel Marte,ARI,13613,526.0,3.73,106.10000000000002,False,32512,FA,MLB,1,$1.00,,contract,32512,Ketel Marte,539.0,False,False,True,False,False,False,True,False,False,False,2B,2B,9.018500000000003
Kodai Senga,Kodai Senga,NYM,31838,411.11,14.09,85.17100000000005,False,4142421,FA,MLB,1,$1.00,,contract,4142421,Kodai Senga,466.0,False,False,False,False,False,False,False,True,False,True,SP,SP,8.942955000000005
Tanner Houck,Tanner Houck,BOS,19879,410.37,12.32,84.43100000000004,False,41009,Structure Fire,MLB,1,40%,¹,arb1,41009,Tanner Houck,467.0,False,False,False,False,False,False,False,True,False,True,SP,SP,8.865255000000003
Jazz Chisholm Jr.,Jazz Chisholm Jr.,NYY,20454,524.0,3.72,104.10000000000002,False,41433,Midtown Jaguars,MLB,1,40%,¹,arb1,41433,Jazz Chisholm Jr.,472.0,False,False,False,True,False,True,True,False,False,False,OF,OF/3B,8.848500000000003
Jackson Chourio,Jackson Chourio,MIL,28806,524.0,3.54,104.10000000000002,False,4917869,Country Strong,MLB,9,$1.10,,contract,4917869,Jackson Chourio,571.0,False,False,False,False,False,True,True,False,False,False,OF,OF,8.848500000000003
Hunter Greene,Hunter Greene,CIN,22182,409.88,16.16,83.94100000000003,False,39635,Detroit Nittany Tide,MLB,1,$1.00,@,pre-arb,39635,Hunter Greene,468.0,False,False,False,False,False,False,False,True,False,True,SP,SP,8.813805000000002
Rafael Devers,Rafael Devers,BOS,17350,523.0,3.65,103.10000000000002,False,33859,Bayou Shooters,MLB,1,80%,³,arb3,33859,Rafael Devers,549.0,False,False,False,True,False,False,True,False,False,False,3B,3B,8.763500000000002
Nathan Eovaldi,Nathan Eovaldi,TEX,9132,408.66,15.6,82.72100000000006,False,31174,FA,MLB,1,$1.00,,contract,31174,Nathan Eovaldi,413.0,False,False,False,False,False,False,False,True,False,True,SP,SP,8.685705000000006
Jared Jones,Jared Jones,PIT,27863,408.09,12.84,82.15100000000001,False,4918156,Young Bucks,AA,U,$-,,AA,4918156,Jared Jones,465.0,False,False,False,False,False,False,False,True,False,True,SP,SP,8.625855000000001
Tyler Glasnow,Tyler Glasnow,LAD,14374,407.8,18.08,81.86100000000005,False,33190,FA,MLB,1,$1.00,,contract,33190,Tyler Glasnow,462.0,False,False,False,False,False,False,False,True,False,True,SP,SP,8.595405000000005
Michael Wacha,Michael Wacha,KCR,14078,403.98,14.63,78.04100000000005,False,32640,FA,MLB,1,$1.00,,contract,32640,Michael Wacha,421.0,False,False,False,False,False,False,False,True,False,True,SP,SP,8.194305000000005
Trea Turner,Trea Turner,PHI,16252,515.0,3.53,95.10000000000002,False,33710,FA,MLB,1,$1.00,,contract,33710,Trea Turner,559.0,False,False,False,False,True,False,True,False,False,False,SS,SS,8.083500000000003
Ronel Blanco,Ronel Blanco,HOU,19407,402.77,14.25,76.83100000000002,False,41829,FA,MLB,1,$1.00,,contract,41829,Ronel Blanco,463.0,False,False,False,False,False,False,False,True,False,True,SP,SP,8.067255000000001
Mason Miller,Mason Miller,ATH,31757,481.0,7.98,142.60199999999998,True,4730225,Dip City Thunder,MLB,2,$1.00,,contract,4730225,Mason Miller,477.0,False,False,False,False,False,False,False,False,True,True,RP,RP,7.8431099999999985
Jackson Merrill,Jackson Merrill,SDP,29490,512.0,3.37,92.10000000000002,False,4872691,Bayou Shooters,MLB,2,$1.00,@,pre-arb,4872691,Jackson Merrill,526.0,False,False,False,False,False,True,True,False,False,False,OF,OF,7.828500000000003
Sandy Alcantara,Sandy Alcantara,MIA,18684,399.89,15.12,73.95100000000002,False,35241,Country Strong,MLB,3,$1.05,,contract,35241,Sandy Alcantara,338.0,False,False,False,False,False,False,False,True,False,True,SP,SP,7.764855000000002
Nick Pivetta,Nick Pivetta,SDP,15454,399.73,15.09,73.79100000000005,False,36071,FA,MLB,1,$1.00,,contract,36071,Nick Pivetta,446.0,False,False,False,False,False,False,False,True,False,True,SP,SP,7.748055000000005
Ryan Pepiot,Ryan Pepiot,TBR,26221,399.11,14.42,73.17100000000005,False,4208281,Orlando Renegades,AAA,2,$1.00,@,pre-arb,4208281,Ryan Pepiot,386.0,False,False,False,False,False,False,False,True,False,True,SP,SP,7.682955000000005
Brent Rooker,Brent Rooker,ATH,19627,510.0,3.6,90.10000000000002,False,40926,Cheating Raiders,AAA,0,AAA opt,,AAA opt,40926,Brent Rooker,562.0,False,False,False,False,False,False,True,False,False,False,Util,DH,7.658500000000003
Manny Machado,Manny Machado,SDP,11493,509.0,3.44,89.10000000000002,False,31097,Cheating Raiders,MLB,2,$7.00,,contract,31097,Manny Machado,555.0,False,False,False,True,False,False,True,False,False,False,3B,3B,7.573500000000003
Jhoan Duran,Jhoan Duran,MIN,21029,475.43,7.91,137.03199999999998,True,41109,FA,MLB,1,$1.00,,contract,41109,Jhoan Duran,485.0,False,False,False,False,False,False,False,False,True,True,RP,RP,7.536759999999999
