,EspnId,Name,Util,P,SP,Espn_proj,OF,3B,SS,1B,2B,C,RP
0,39832,Shohei Ohtani,True,True,True,1076.0,False,False,False,False,False,False,False
1,36969,Juan Soto,True,False,False,668.0,True,False,False,False,False,False,False
2,33192,Aaron Judge,True,False,False,741.0,True,False,False,False,False,False,False
3,32801,Jose Ramirez,True,False,False,651.0,False,True,False,False,False,False,False
4,42403,Bobby Witt Jr.,True,False,False,708.0,False,False,True,False,False,False,False
5,33039,Mookie Betts,True,False,False,595.0,True,False,True,False,False,False,False
6,34967,Kyle Tucker,True,False,False,620.0,True,False,False,False,False,False,False
7,42409,Tarik Skubal,False,True,True,615.0,False,False,False,False,False,False,False
8,36018,Yordan Alvarez,True,False,False,585.0,True,False,False,False,False,False,False
9,35002,Vladimir Guerrero Jr.,True,False,False,598.0,False,False,False,True,False,False,False
10,42404,Corbin Carroll,True,False,False,612.0,True,False,False,False,False,False,False
11,31267,Zack Wheeler,False,True,True,599.0,False,False,False,False,False,False,False
12,4719507,Paul Skenes,False,True,True,555.0,False,False,False,False,False,False,False
13,42507,Gunnar Henderson,True,False,False,648.0,False,False,True,False,False,False,False
14,41221,Logan Gilbert,False,True,True,572.0,False,False,False,False,False,False,False
15,32081,Gerrit Cole,False,True,True,520.0,False,False,False,False,False,False,False
16,32129,Francisco Lindor,True,False,False,612.0,False,False,True,False,False,False,False
17,34943,Dylan Cease,False,True,True,570.0,False,False,False,False,False,False,False
18,35983,Fernando Tatis Jr.,True,False,False,567.0,True,False,False,False,False,False,False
19,32512,Ketel Marte,True,False,False,539.0,False,False,False,False,True,False,False
20,33859,Rafael Devers,True,False,False,549.0,False,True,False,False,False,False,False
21,30193,Freddie Freeman,True,False,False,565.0,False,False,False,True,False,False,False
22,39878,Corbin Burnes,False,True,True,556.0,False,False,False,False,False,False,False
23,4297835,Garrett Crochet,False,True,True,554.0,False,False,False,False,False,False,False
24,39895,William Contreras,True,False,False,529.0,False,False,False,False,False,True,False
25,41996,Steven Kwan,True,False,False,492.0,True,False,False,False,False,False,False
26,36084,Anthony Santander,True,False,False,554.0,True,False,False,False,False,False,False
27,42178,Adley Rutschman,True,False,False,477.0,False,False,False,False,False,True,False
28,41054,Cole Ragans,False,True,True,564.0,False,False,False,False,False,False,False
29,41743,Emmanuel Clase,False,True,False,626.0,False,False,False,False,False,False,True
30,30948,Chris Sale,False,True,True,521.0,False,False,False,False,False,False,False
31,32146,Marcus Semien,True,False,False,544.0,False,False,False,False,True,False,False
32,36185,Ronald Acuna Jr.,True,False,False,499.0,True,False,False,False,False,False,False
33,39572,Luis Arraez,True,False,False,431.0,False,False,False,True,True,False,False
34,31097,Manny Machado,True,False,False,555.0,False,True,False,False,False,False,False
35,33224,Devin Williams,False,True,False,566.0,False,False,False,False,False,False,True
36,32760,Josh Hader,False,True,False,544.0,False,False,False,False,False,False,True
37,34886,Alex Bregman,True,False,False,499.0,False,True,False,False,False,False,False
38,32691,Corey Seager,True,False,False,521.0,False,False,True,False,False,False,False
39,42406,George Kirby,False,True,True,505.0,False,False,False,False,False,False,False
40,35394,Edwin Diaz,False,True,False,487.0,False,False,False,False,False,False,True
41,36581,Framber Valdez,False,True,True,555.0,False,False,False,False,False,False,False
42,39671,Pablo Lopez,False,True,True,531.0,False,False,False,False,False,False,False
43,33748,Blake Snell,False,True,True,545.0,False,False,False,False,False,False,False
44,4917869,Jackson Chourio,True,False,False,571.0,True,False,False,False,False,False,False
45,30951,Bryce Harper,True,False,False,565.0,False,False,False,True,False,False,False
46,4872691,Jackson Merrill,True,False,False,526.0,True,False,False,False,False,False,False
47,39909,Ryan Helsley,False,True,False,549.0,False,False,False,False,False,False,True
48,31662,Jose Altuve,True,False,False,547.0,False,False,False,False,True,False,False
49,33710,Trea Turner,True,False,False,559.0,False,False,True,False,False,False,False
50,4730225,Mason Miller,False,True,False,477.0,False,False,False,False,False,False,True
51,32767,Matt Olson,True,False,False,584.0,False,False,False,True,False,False,False
52,38309,Will Smith,True,False,False,443.0,False,False,False,False,False,True,False
53,33709,Aaron Nola,False,True,True,540.0,False,False,False,False,False,False,False
54,35124,Luis Castillo,False,True,True,502.0,False,False,False,False,False,False,False
55,32082,Sonny Gray,False,True,True,495.0,False,False,False,False,False,False,False
56,40429,Michael King,False,True,True,497.0,False,False,False,False,False,False,False
