Name,Team,Level,Pos,Yrs,Cost,Note,Options,FangraphsId,EspnId
Travis Honeyman,Detroit Nittany Tide,AA,OF,U,$-,,3.0,,
Brody Brecht,Detroit Nittany Tide,AA,SP,U,$-,,3.0,,
Hagan Smith,Ryno World,AA,SP,U,$-,,3.0,,
Yoelin Cespedes,Orlando Renegades,AA,SS,U,$-,,3.0,,
Kazumo Okamoto,Springfield Zephyrs,AA,3B,U,$-,,3.0,,
Ethan Holliday,Dip City Thunder,AA,3B,U,$-,,3.0,,
Robert Hassell,Structure Fire,AA,OF,U,$-,,3.0,,
Justin-Henry Malloy,Cheating Raiders,AA,OF,U,$-,,3.0,,
Carson Wislenhunt,Midtown Jaguars,AA,SP,U,$-,,3.0,,
AJ Minter,Young Bucks,AA,RP,U,$-,,2.0,,
Shunpeita Yamashita,Young Bucks,AA,SP,U,$-,,3.0,,
Vance Honeycutt,Cheating Raiders,AA,OF,U,$-,,3.0,,
Drew Thrope,Cheating Raiders,AA,SP,U,$-,,3.0,,
Druw Jones Jr.,Ryno World,AA,OF,9,$1.00,,,,
Wander Franco,Young Bucks,Cut,SS,7,$2.55,,,,
Munetaka Murakami,Country Strong,AA,3B,6,$1.00,,,,
Asa Lacy,Structure Fire,Cut,SP,5,$1.21,,,,
Evan White,Structure Fire,Cut,1B,3,$1.00,,,,
Logan T. Allen,Bayou Shooters,MLB,SP,2,$1.00,@,,,
Xander Boagarts,FA,MLB,SS,1,$1.00,,,,
Fransisco Lindor,FA,MLB,SS,1,$1.00,,,,
Javy Baez,FA,MLB,SS,1,$1.00,,,,
Emmett Sheehan,FA,MLB,SP,1,$1.00,,,,
Matt Mclain,West Coast Spartans,MLB,2B,1,$6.10,,,,
Nomar Mazara,Orlando Renegades,Cut,OF,1,$2.00,,,,
JT Realmuto,FA,MLB,C,1,$1.00,,,,
Jaimer Candelario,FA,MLB,3B,1,$1.00,,,,
Brandon NImmo,FA,MLB,OF,1,$1.00,,,,
Michael Stanton,FA,MLB,OF,1,$1.00,,,,
Cristopher Morel,FA,MLB,OF,1,$1.00,,,,
Mackenzie Gore,Detroit Nittany Tide,MLB,SP,1,$1.00,@,,,
Franklin Barreto,FA,MLB,2B,1,$1.00,,,,
Will Smith (RP),FA,MLB,RP,1,$1.00,,,,
Seranthony Dongmingez,FA,MLB,RP,1,$1.00,,,,
Emmanual Clase,FA,MLB,RP,1,$1.00,,,,
Jon Loisiaga,FA,MLB,RP,1,$1.00,,,,
