Name,Team,PTS,PTS/G,NameASCII,FangraphsId,MLBAMID,VORP
Tarik Skubal,DET,566.22,19.21,Tarik Skubal,22267,669373,237.19500000000005
Zack Wheeler,PHI,552.01,18.36,Zack Wheeler,10310,554430,222.985
Paul Skenes,PIT,532.53,18.22,Paul Skenes,33677,694973,203.505
Logan Gilbert,SEA,530.44,17.26,Logan Gilbert,22250,669302,201.41500000000008
Dylan Cease,SDP,522.02,17.02,Dylan Cease,18525,656302,192.995
Framber Valdez,HOU,507.37,17.69,Framber Valdez,17295,664285,178.34500000000003
Pablo López,MIN,503.87,16.62,Pablo Lopez,17085,641154,174.84500000000003
Cole Ragans,KCR,497.86,16.73,Cole Ragans,21846,666142,168.83500000000004
Corbin Burnes,ARI,497.12,16.59,Corbin Burnes,19361,669203,168.09500000000003
Logan Webb,SFG,494.2,16.27,Logan Webb,17995,657277,165.175
George Kirby,SEA,485.83,16.16,George Kirby,25436,669923,156.805
Aaron Nola,PHI,485.72,16.15,Aaron Nola,16149,605400,156.69500000000005
Luis Castillo,SEA,484.79,16.22,Luis Castillo,15689,622491,155.76500000000004
Garrett Crochet,BOS,475.74,16.2,Garrett Crochet,27463,676979,146.71500000000003
Michael King,SDP,475.19,15.78,Michael King,19853,650633,146.16500000000002
Blake Snell,LAD,474.77,17.01,Blake Snell,13543,605483,145.745
Chris Sale,ATL,469.24,18.2,Chris Sale,10603,519242,140.21500000000003
Kevin Gausman,TOR,468.71,15.84,Kevin Gausman,14107,592332,139.685
Gerrit Cole,NYY,467.63,16.45,Gerrit Cole,13125,543037,138.60500000000002
Zac Gallen,ARI,461.96,15.98,Zac Gallen,19291,668678,132.935
Shota Imanaga,CHC,461.54,16.55,Shota Imanaga,33829,684007,132.51500000000004
Tanner Bibee,CLE,461.08,15.98,Tanner Bibee,30134,676440,132.055
Freddy Peralta,MIL,459.38,15.61,Freddy Peralta,18679,642547,130.35500000000002
Hunter Brown,HOU,458.1,15.87,Hunter Brown,25880,686613,129.07500000000005
Sonny Gray,STL,452.01,16.58,Sonny Gray,12768,543243,122.98500000000001
Bailey Ober,MIN,450.26,15.55,Bailey Ober,21224,641927,121.23500000000001
Max Fried,NYY,448.57,16.45,Max Fried,13743,608331,119.54500000000002
Yusei Kikuchi,LAA,447.01,14.82,Yusei Kikuchi,20633,579328,117.98500000000001
Seth Lugo,KCR,446.36,14.78,Seth Lugo,12447,607625,117.33500000000004
Bryce Miller,SEA,445.41,15.14,Bryce Miller,29837,682243,116.38500000000005
Carlos Rodón,NYY,445.2,15.73,Carlos Rodon,16137,607074,116.17500000000001
Spencer Schwellenbach,ATL,445.06,15.87,Spencer Schwellenbach,31846,680885,116.03500000000003
José Berríos,TOR,442.54,14.67,Jose Berrios,14168,621244,113.51500000000004
Joe Ryan,MIN,439.08,16.16,Joe Ryan,21390,657746,110.055
Justin Steele,CHC,438.78,15.21,Justin Steele,17312,657006,109.755
Yoshinobu Yamamoto,LAD,438.29,17.06,Yoshinobu Yamamoto,33825,808967,109.26500000000004
Grayson Rodriguez,BAL,433.93,16.14,Grayson Rodriguez,24492,680570,104.90500000000003
Chris Bassitt,TOR,426.32,14.46,Chris Bassitt,12304,605135,97.29500000000002
MacKenzie Gore,WSN,425.47,14.18,MacKenzie Gore,22201,669022,96.44500000000005
Zach Eflin,BAL,424.93,14.85,Zach Eflin,13774,621107,95.90500000000003
Mitch Keller,PIT,423.26,14.15,Mitch Keller,17594,656605,94.23500000000001
Reynaldo López,ATL,423.07,14.96,Reynaldo Lopez,16400,625643,94.04500000000002
Jack Flaherty,DET,422.74,15.26,Jack Flaherty,17479,656427,93.71500000000003
Taj Bradley,TBR,420.41,14.72,Taj Bradley,22543,671737,91.38500000000005
Cristopher Sánchez,PHI,412.63,14.33,Cristopher Sanchez,20778,650911,83.60500000000002
Kodai Senga,NYM,410.7,14.21,Kodai Senga,31838,673540,81.67500000000001
Hunter Greene,CIN,409.86,16.16,Hunter Greene,22182,668881,80.83500000000004
Tanner Houck,BOS,408.83,12.25,Tanner Houck,19879,656557,79.805
Nathan Eovaldi,TEX,408.62,15.62,Nathan Eovaldi,9132,543135,79.59500000000003
Jared Jones,PIT,406.13,12.81,Jared Jones,27863,683003,77.10500000000002
Michael Wacha,KCR,403.93,14.63,Michael Wacha,14078,608379,74.90500000000003
Ronel Blanco,HOU,402.72,14.25,Ronel Blanco,19407,669854,73.69500000000005
Brayan Bello,BOS,402.44,14.33,Brayan Bello,23920,678394,73.41500000000002
Nick Pivetta,SDP,400.12,15.06,Nick Pivetta,15454,601713,71.09500000000003
Tyler Glasnow,LAD,399.84,18.08,Tyler Glasnow,14374,607192,70.815
Ryan Pepiot,TBR,399.1,14.42,Ryan Pepiot,26221,686752,70.07500000000005
Sandy Alcantara,MIA,398.97,15.16,Sandy Alcantara,18684,645261,69.94500000000005
Brandon Pfaadt,ARI,397.33,12.53,Brandon Pfaadt,27782,694297,68.305
Erick Fedde,STL,395.25,13.65,Erick Fedde,17425,607200,66.22500000000002
Ranger Suárez,PHI,393.02,12.21,Ranger Suarez,17277,624133,63.995000000000005
Brady Singer,CIN,392.36,13.54,Brady Singer,25377,663903,63.335000000000036
Jameson Taillon,CHC,386.9,13.69,Jameson Taillon,11674,592791,57.875
Robbie Ray,SFG,382.73,14.9,Robbie Ray,11486,592662,53.70500000000004
Roki Sasaki,LAD,377.83,16.66,Roki Sasaki,sa3025686,808963,48.80500000000001
Merrill Kelly,ARI,376.26,14.69,Merrill Kelly,11156,518876,47.235000000000014
Shane McClanahan,TBR,375.64,14.31,Shane McClanahan,21483,663556,46.61500000000001
Luis Severino,ATH,374.81,12.95,Luis Severino,15890,622663,45.785000000000025
Sean Manaea,NYM,372.18,14.56,Sean Manaea,15873,640455,43.15500000000003
JP Sears,ATH,368.78,12.49,JP Sears,23429,676664,39.754999999999995
Jesús Luzardo,PHI,367.78,11.84,Jesus Luzardo,19959,666200,38.754999999999995
Nestor Cortes,MIL,365.72,11.41,Nestor Cortes,17874,641482,36.69500000000005
Clay Holmes,NYM,362.41,7.77,Clay Holmes,13649,605280,33.38500000000005
Luis Gil,NYY,360.43,12.16,Luis Gil,21052,661563,31.40500000000003
Spencer Arrighetti,HOU,360.1,13.54,Spencer Arrighetti,29921,681293,31.075000000000045
Bryan Woo,SEA,359.68,14.28,Bryan Woo,30279,693433,30.65500000000003
Tyler Anderson,LAA,359.33,12.64,Tyler Anderson,12880,542881,30.305000000000007
Bowden Francis,TOR,358.06,11.59,Bowden Francis,20548,670102,29.035000000000025
Charlie Morton,BAL,354.39,13.65,Charlie Morton,4676,450203,25.36500000000001
Nick Lodolo,CIN,353.55,14.72,Nick Lodolo,26378,666157,24.525000000000034
Miles Mikolas,STL,352.25,12.23,Miles Mikolas,9803,571945,23.225000000000023
Spencer Strider,ATL,350.73,18.0,Spencer Strider,27498,675911,21.70500000000004
Jake Irvin,WSN,349.78,12.35,Jake Irvin,21504,663623,20.754999999999995
Aaron Civale,MIL,346.54,12.79,Aaron Civale,19479,650644,17.515000000000043
Dean Kremer,BAL,346.26,13.35,Dean Kremer,19350,665152,17.235000000000014
Yu Darvish,SDP,340.9,14.87,Yu Darvish,13074,506433,11.875
Gavin Williams,CLE,339.51,13.15,Gavin Williams,30122,668909,10.485000000000014
Reese Olson,DET,337.83,12.94,Reese Olson,24968,681857,8.805000000000007
Shane Baz,TBR,336.53,10.93,Shane Baz,22264,669358,7.5049999999999955
David Peterson,NYM,335.98,12.36,David Peterson,20302,656849,6.955000000000041
Jeffrey Springs,ATH,335.13,11.77,Jeffrey Springs,17677,605488,6.105000000000018
Eduardo Rodriguez,ARI,334.11,12.49,Eduardo Rodriguez,13164,593958,5.085000000000036
Nick Martinez,CIN,333.67,8.74,Nick Martinez,12730,607259,4.645000000000039
Jacob deGrom,TEX,332.28,16.39,Jacob deGrom,10954,594798,3.2549999999999955
Brandon Woodruff,MIL,331.51,15.76,Brandon Woodruff,16162,605540,2.4850000000000136
José Soriano,LAA,331.4,13.19,Jose Soriano,22100,667755,2.375
Kyle Harrison,SFG,331.03,13.24,Kyle Harrison,27758,690986,2.0049999999999955
Andrew Abbott,CIN,328.24,13.19,Andrew Abbott,29911,671096,-0.7849999999999682
Jon Gray,TEX,327.04,10.07,Jon Gray,14916,592351,-1.9849999999999568
Luis L. Ortiz,CLE,325.62,9.89,Luis L. Ortiz,27646,682847,-3.4049999999999727
Tobias Myers,MIL,324.98,12.99,Tobias Myers,22191,668964,-4.044999999999959
Shohei Ohtani,LAD,324.48,16.76,Shohei Ohtani,19755,660271,-4.544999999999959
Clarke Schmidt,NYY,323.97,10.33,Clarke Schmidt,19899,657376,-5.05499999999995
Kutter Crawford,BOS,322.07,8.13,Kutter Crawford,20531,676710,-6.954999999999984
Mitchell Parker,WSN,320.61,10.62,Mitchell Parker,27636,680730,-8.414999999999964
DJ Herz,WSN,319.36,9.1,DJ Herz,26389,687792,-9.664999999999964
Ryan Weathers,MIA,312.51,11.12,Ryan Weathers,23796,677960,-16.514999999999986
Zack Littell,TBR,310.68,10.03,Zack Littell,15823,641793,-18.34499999999997
Ben Lively,CLE,308.83,12.26,Ben Lively,14932,594902,-20.194999999999993
Ryan Feltner,COL,307.03,10.84,Ryan Feltner,21446,663372,-21.995000000000005
Andre Pallante,STL,302.7,8.97,Andre Pallante,26108,669467,-26.32499999999999
Walker Buehler,BOS,300.99,9.56,Walker Buehler,19374,621111,-28.034999999999968
Edward Cabrera,MIA,300.29,10.39,Edward Cabrera,21690,665795,-28.734999999999957
Andrew Heaney,PIT,295.82,9.73,Andrew Heaney,15423,571760,-33.204999999999984
Michael Lorenzen,KCR,294.11,7.51,Michael Lorenzen,14843,547179,-34.914999999999964
Kyle Gibson,,293.41,12.2,Kyle Gibson,10123,502043,-35.61499999999995
Jonathan Cannon,CHW,293.22,10.2,Jonathan Cannon,31730,686563,-35.80499999999995
Austin Gomber,COL,290.21,10.32,Austin Gomber,16561,596295,-38.815
Lucas Giolito,BOS,286.11,10.95,Lucas Giolito,15474,608337,-42.914999999999964
Justin Verlander,SFG,285.92,13.63,Justin Verlander,8700,434378,-43.10499999999996
Reid Detmers,LAA,284.67,9.4,Reid Detmers,27468,672282,-44.35499999999996
Jordan Hicks,SFG,282.6,8.18,Jordan Hicks,19618,663855,-46.424999999999955
Drew Rasmussen,TBR,282.52,8.54,Drew Rasmussen,25385,656876,-46.504999999999995
Kyle Freeland,COL,281.3,10.49,Kyle Freeland,16256,607536,-47.724999999999966
Martín Pérez,CHW,280.52,10.65,Martin Perez,6902,527048,-48.504999999999995
Max Scherzer,TOR,279.79,13.44,Max Scherzer,3137,453286,-49.23499999999996
Max Meyer,MIA,278.11,9.72,Max Meyer,27474,676974,-50.914999999999964
Tyler Mahle,TEX,277.15,12.65,Tyler Mahle,16358,641816,-51.875
Javier Assad,CHC,276.53,8.45,Javier Assad,21741,665871,-52.495000000000005
David Festa,MIN,273.6,8.18,David Festa,30056,701581,-55.424999999999955
Kumar Rocker,TEX,268.96,10.05,Kumar Rocker,31843,677958,-60.065
Hayden Birdsong,SFG,268.93,8.58,Hayden Birdsong,31635,806185,-60.09499999999997
Germán Márquez,COL,268.18,11.69,German Marquez,15038,608566,-60.84499999999997
Jose Quintana,MIL,263.49,11.61,Jose Quintana,11423,500779,-65.53499999999997
Simeon Woods Richardson,MIN,262.72,10.51,Simeon Woods Richardson,24494,680573,-66.30499999999995
Sean Burke,CHW,260.95,10.18,Sean Burke,29878,680732,-68.07499999999999
Colin Rea,CHC,260.51,8.96,Colin Rea,12317,607067,-68.51499999999999
Grant Holmes,ATL,260.25,6.86,Grant Holmes,16944,656550,-68.77499999999998
Casey Mize,DET,259.96,10.94,Casey Mize,20492,663554,-69.065
Bailey Falter,PIT,258.08,7.65,Bailey Falter,20070,663559,-70.945
Matthew Boyd,CHC,258.04,11.77,Matthew Boyd,15440,571510,-70.98499999999996
Mitch Spence,ATH,256.12,9.28,Mitch Spence,27707,687765,-72.90499999999997
Lance Lynn,,255.21,12.5,Lance Lynn,2520,458681,-73.81499999999997
Tomoyuki Sugano,BAL,252.85,11.31,Tomoyuki Sugano,sa3025685,608372,-76.17499999999998
Cal Quantrill,MIA,252.12,10.84,Cal Quantrill,19312,615698,-76.90499999999997
Trevor Williams,WSN,245.82,6.48,Trevor Williams,16977,592866,-83.20499999999998
